Geo Point,Geo Shape,id,type,nom,plage_horaire,tarifs
"43.65563646456698,1.3701276612970306","{""coordinates"": [[[[1.37029309920832, 43.65573514194359], [1.371185223655313, 43.6558245763494], [1.371184680395794, 43.65582913288027], [1.371304987533276, 43.65583657909017], [1.371424590572051, 43.655848570439815], [1.371425455586443, 43.65584403644205], [1.372657084991535, 43.65592030544861], [1.372780598310041, 43.65592795725912], [1.372801676202125, 43.65574859436461], [1.371332494212579, 43.65565761297895], [1.370440186558122, 43.655568159086464], [1.37044071964066, 43.6555635213936], [1.370320485108384, 43.65555616532128], [1.370200944591017, 43.65554418270097], [1.370200064931221, 43.65554879750597], [1.369351763798285, 43.65549691867314], [1.36760921161163, 43.655320556287336], [1.367486435398002, 43.65530812908939], [1.367452203160199, 43.655486414409296], [1.369204614797213, 43.6556637822913], [1.369204066097306, 43.65566853678978], [1.369324226591164, 43.655675883974794], [1.369443665152728, 43.65568797409006], [1.369444572788124, 43.65568324265421], [1.37029309920832, 43.65573514194359]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,ANDROMEDE,"Du lundi au Samedi : 8-18h sauf 14-18h(L)8-13h(S), durée maximale : 2h",Gratuit
"43.58408022309527,1.4517696993624276","{""coordinates"": [[[[1.452589093962144, 43.58438606571313], [1.452574873809591, 43.58442185786374], [1.452537846170799, 43.58444770302269], [1.45248795774032, 43.58445667649634], [1.452439635894154, 43.584446837917405], [1.451861234040008, 43.584200886878676], [1.450998860097249, 43.58383951482528], [1.450997230912548, 43.583838808803684], [1.450961538737673, 43.58381199832405], [1.450949155181998, 43.58377584972303], [1.45096336352871, 43.58374006659768], [1.45100039140478, 43.58371422193674], [1.451050279447308, 43.58370524910289], [1.45109806147254, 43.58371485598033], [1.451960826295627, 43.58407639460474], [1.451961352932384, 43.584076626719785], [1.451961377692412, 43.584076627051516], [1.452539925737263, 43.58432264258468], [1.452541003779558, 43.58432310714108], [1.452576696718514, 43.58434992612742], [1.452589093962144, 43.58438606571313]]]], ""type"": ""MultiPolygon""}",3,Faubourgs commerçants,AV CRAMPEL,Du lundi au samedi de 9h à 19h sauf dimanches et jours fériés et du 1er au 15 août,"une 1/2 heure gratuite par demi-journée, 1heure = 1€, 2h = 2€, de 2h à 3h = majoration tarifaire jusqu'à 30€"
"43.56530890042967,1.3990014549469536","{""coordinates"": [[[[1.398715408217736, 43.564703382635784], [1.39870046362508, 43.56469210231748], [1.398648165286629, 43.56466436964322], [1.398590037178757, 43.564643668153344], [1.398527833235787, 43.56463062532721], [1.39846347464257, 43.56462562789693], [1.398398888478802, 43.56462883761623], [1.398336058406311, 43.56464014695059], [1.398276887357915, 43.56465922218601], [1.39822316088499, 43.564685484915216], [1.398176534548248, 43.56471812086405], [1.398138395659944, 43.56475615899639], [1.398109926107711, 43.564798436373586], [1.398091976941934, 43.56484365943205], [1.398085116461101, 43.56489045866437], [1.398089518116761, 43.564937414071984], [1.398105083089375, 43.56498310187737], [1.398131315344613, 43.56502613780476], [1.398167432305732, 43.565065205622915], [1.39821231393087, 43.565099110455805], [1.398264624819665, 43.56512684349479], [1.39832275327703, 43.565147545144924], [1.398384945326545, 43.565160587907535], [1.398449316852974, 43.565165585552194], [1.398513891205549, 43.56516237563374], [1.398576734158273, 43.565151066376316], [1.398635905589448, 43.56513199099055], [1.398689619901605, 43.56510572790192], [1.398699280419186, 43.56509897485465], [1.398677619322422, 43.565630059915215], [1.39867445008999, 43.565630051993274], [1.39867391851406, 43.56572069142935], [1.398673870747768, 43.56572204115163], [1.398670199527708, 43.56581201588601], [1.39891766068219, 43.56581734549186], [1.398917918341933, 43.565810822205655], [1.399215500817032, 43.56581173238661], [1.399261045033013, 43.56582795593682], [1.39932323797558, 43.565840998191256], [1.399387610295763, 43.56584599531197], [1.399452185318282, 43.56584278486981], [1.399515028797257, 43.56583147510467], [1.399572852178338, 43.56581283068955], [1.39967638330522, 43.56581314867496], [1.400025680286797, 43.56594023284602], [1.400136373282219, 43.56598051294111], [1.40024716303042, 43.565819515057264], [1.399761260376931, 43.565642735676946], [1.399753754669807, 43.5656414343619], [1.399759097091495, 43.56562795951516], [1.399765968748829, 43.56558116036687], [1.399761553382055, 43.5655342048622], [1.399745999406234, 43.56548851746018], [1.399719765814904, 43.56544548190636], [1.399683647636181, 43.565406414578646], [1.399638752592572, 43.56537251014951], [1.399586453245645, 43.56534477790654], [1.399528324172358, 43.565324076893646], [1.399466119336217, 43.565311034575814], [1.399401759949402, 43.56530603766941], [1.399337173115559, 43.5653092479125], [1.399274342516961, 43.56532055775443], [1.399215171102493, 43.56533963346592], [1.399161444434536, 43.565365896625245], [1.399114818079735, 43.56539853294503], [1.399076679350884, 43.565436571378136], [1.399048210130913, 43.565478848976554], [1.399030261459829, 43.56552407217007], [1.399023401621406, 43.565570871447086], [1.399027804047316, 43.56561782680782], [1.39903234516432, 43.56563115051745], [1.398925261456753, 43.565630818722326], [1.39896369501403, 43.56468837785476], [1.398967365498399, 43.5645984120752], [1.398719909513253, 43.56459307357428], [1.398715408217736, 43.564703382635784]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,BELLEFONTAINE,"Du lundi au Samedi : 9h-12h et 14h-19h, durée maximale : 1h30",Gratuit
"43.610890935801095,1.4563784454631217","{""coordinates"": [[[[1.456449648584528, 43.611477175665186], [1.456483598280316, 43.611542265460606], [1.456526405503485, 43.611530485828446], [1.456559487536085, 43.61155346025703], [1.456625682477716, 43.61150313889934], [1.456659569096628, 43.61149380578292], [1.456705716392309, 43.61147144796013], [1.457345105484455, 43.610979669835736], [1.457442127804844, 43.61095912487693], [1.457561048357763, 43.61093393874752], [1.457491734856952, 43.61076111500724], [1.457243481117424, 43.61081367963827], [1.457188096838848, 43.61083829100885], [1.456571337900495, 43.61131267189153], [1.45576815001198, 43.61075486708608], [1.45577448244525, 43.61074648950628], [1.456434973267446, 43.61022326503222], [1.456518706315534, 43.61015693773942], [1.456336127461437, 43.61003524639052], [1.455581776059833, 43.6106328268063], [1.455564469997669, 43.610650366158396], [1.455533934300504, 43.610690819677224], [1.455518665278775, 43.61073312457083], [1.455518150348732, 43.610767182413056], [1.455523450016088, 43.61079423312292], [1.455537291012923, 43.61082745649262], [1.455570264200484, 43.610866453867835], [1.456449648584528, 43.611477175665186]]]], ""type"": ""MultiPolygon""}",3,Faubourgs commerçants,RUE RENE LEDUC,Du lundi au samedi de 9h à 19h sauf dimanches et jours fériés et du 1er au 15 août,"une 1/2 heure gratuite par demi-journée, 1heure = 1€, 2h = 2€, de 2h à 3h = majoration tarifaire jusqu'à 30€"
"43.608611641331976,1.380669621911109","{""coordinates"": [[[[1.380220008695832, 43.608917857134166], [1.379728216558698, 43.60866182202389], [1.379729019256963, 43.60866098704285], [1.379628094153751, 43.608609689768976], [1.379527971680895, 43.608557566425475], [1.379527156835386, 43.6085583922324], [1.379042814252082, 43.60831223519824], [1.379005245853926, 43.60829932101034], [1.378583440405724, 43.60821343658934], [1.378464169419957, 43.608189149423055], [1.378397319956373, 43.608362499492365], [1.378918102646236, 43.60846852472775], [1.379484936304705, 43.60875661982805], [1.380054414570432, 43.60905310338909], [1.380053463432508, 43.60909594178281], [1.380138627175014, 43.60909693710895], [1.380207869253032, 43.60913298993145], [1.380242220350764, 43.6090981635906], [1.380465038116959, 43.609100772248624], [1.380481109947006, 43.60910020519049], [1.380760142058388, 43.60907700752721], [1.380791214926581, 43.60907140211032], [1.380918660806829, 43.60903515174719], [1.380938287133914, 43.609053314515236], [1.381021388993439, 43.609005928097204], [1.381119772538242, 43.608977948871754], [1.381108176535846, 43.60895644164683], [1.381824711906648, 43.608547886438664], [1.382093955170452, 43.608437215702075], [1.382490382625419, 43.608359409503436], [1.382847400846961, 43.60833015007557], [1.38297048357795, 43.608320060606246], [1.382942725524356, 43.60814118055805], [1.382453264041547, 43.608181298591425], [1.382434848116825, 43.60818384066867], [1.382014260583644, 43.6082663949065], [1.381985575743423, 43.608274941865744], [1.381694600655018, 43.60839454465047], [1.381679124819897, 43.60840207912088], [1.380897138054821, 43.60884795020495], [1.380715950100104, 43.60889949915351], [1.380460970567808, 43.60892068402872], [1.380220008695832, 43.608917857134166]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,SAINT-MARTIN DU TOUCH,"Du lundi au Samedi : 9h-12h et 14h-19h, durée maximale : 1h30",Gratuit
"43.608598385428046,1.3830509277856127","{""coordinates"": [[[[1.383422469611104, 43.60860358581768], [1.383418076327173, 43.60855662157892], [1.38340251123671, 43.608510932500444], [1.383376270440624, 43.60846790289127], [1.38334013726684, 43.60842883105022], [1.383295232283471, 43.608394911961476], [1.383242890879845, 43.60836718156912], [1.383184726381981, 43.60834647264898], [1.383122493821517, 43.60833341290452], [1.383058077791679, 43.60832841579578], [1.38299345720348, 43.60833160802736], [1.382930566673398, 43.60834291763444], [1.38287134845022, 43.60836198468434], [1.382817589509597, 43.608388231016754], [1.382770908933381, 43.60842086906858], [1.382732733141627, 43.6084589015261], [1.382704232776842, 43.608501165453035], [1.38268627173302, 43.608546385590785], [1.382679381906774, 43.60859319200916], [1.382683787248274, 43.608640147449535], [1.382699339448932, 43.60868583644936], [1.382725579623078, 43.60872887520787], [1.382761712819553, 43.60876793823765], [1.382806630165707, 43.60880185770231], [1.382858959359022, 43.60882958811458], [1.382917124206703, 43.60885029719501], [1.382979369635033, 43.608863357220784], [1.38304377383808, 43.60886835419919], [1.383108407376699, 43.60886516211334], [1.383171286027034, 43.60885385223844], [1.383230504633689, 43.60883478503831], [1.383284276174879, 43.60880853869132], [1.383330944388238, 43.608775900263595], [1.383369119767172, 43.608737876612], [1.383397620020484, 43.60869560352568], [1.383415592966056, 43.60865038345305], [1.383422469611104, 43.60860358581768]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,SAINT-MARTIN DU TOUCH,"Du lundi au Samedi : 9h-12h et 14h-19h, durée maximale : 1h30",Gratuit
"43.605599552931785,1.4594493996572346","{""coordinates"": [[[[1.458670712744482, 43.605559885828505], [1.458670039213784, 43.60556202840124], [1.458789258407003, 43.6055819826973], [1.458907754844965, 43.605604069784654], [1.458908502219747, 43.605601946199755], [1.46031944865477, 43.60583816264502], [1.46044016154367, 43.60585836917744], [1.460495775569608, 43.60568295262357], [1.458847850194313, 43.60540705667625], [1.45858443377322, 43.605357965725986], [1.458464458172538, 43.60533560650705], [1.458402906059759, 43.60550997974103], [1.458670712744482, 43.605559885828505]]]], ""type"": ""MultiPolygon""}",3,Faubourgs commerçants,AV DE LA GLOIRE,Du lundi au samedi de 9h à 19h sauf dimanches et jours fériés et du 1er au 15 août,"une 1/2 heure gratuite par demi-journée, 1heure = 1€, 2h = 2€, de 2h à 3h = majoration tarifaire jusqu'à 30€"
"43.59901712378866,1.4285872772971417","{""coordinates"": [[[[1.42840965425942, 43.59915835345428], [1.428386303673744, 43.598911055199565], [1.428754464196553, 43.59887215590159], [1.428795339059535, 43.59912350930175], [1.42840965425942, 43.59915835345428]]]], ""type"": ""MultiPolygon""}",2,Zone Faubourgs,Faubourgs,Du lundi au samedi de 9h à 19h sauf dimanches et jours fériés et du 1er au 15 août,"1heure=1€, 2h=2€, 3h=4€, 4h=6€, de 4 à 5h= majoration tarifaire jusqu'à 30€"
"43.55293649925685,1.5336436188418137","{""coordinates"": [[[[1.534014838404693, 43.55294121146955], [1.534010320786336, 43.552894260950396], [1.533994669663854, 43.55284859148095], [1.533968346975562, 43.55280558627775], [1.533932150476389, 43.55276656079891], [1.533887190283133, 43.552732708433425], [1.533834840889203, 43.55270503687707], [1.533776678431234, 43.552684403346724], [1.533714457886264, 43.55267143327118], [1.533650100916244, 43.552666511135605], [1.53358553457907, 43.55266979643914], [1.533522741907832, 43.55268117932583], [1.533463624722107, 43.55270032385408], [1.533409966941779, 43.55272664952553], [1.533363421999826, 43.55275934012653], [1.533325374786776, 43.552797422994814], [1.533297004384409, 43.552839733805456], [1.533279158813414, 43.55288497799538], [1.533272403230225, 43.55293178538826], [1.533276907910401, 43.55297873577854], [1.533292570687604, 43.5530244144999], [1.533318893210579, 43.55306741085429], [1.533355089496282, 43.55310643652126], [1.533400037295774, 43.553140288932376], [1.533452399239668, 43.55316796083879], [1.533510562048436, 43.553188594528976], [1.533572770702799, 43.55320156455494], [1.533637140604138, 43.553206486889806], [1.533701695131703, 43.55320320140093], [1.533764500680057, 43.553191818576096], [1.533823618247053, 43.5531726738971], [1.533877263866888, 43.553146347880435], [1.53392382120269, 43.5531136572338], [1.533961868239654, 43.553075574172524], [1.533990238075166, 43.55303327220161], [1.534008071004945, 43.552988018747484], [1.534014838404693, 43.55294121146955]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,HENRI PUIS,"du lundi au samedi sauf jeudi : 8h-19h et 8h-12h (S) hors J, durée maximale : 2h",Gratuit
"43.606683859549165,1.4598036499532714","{""coordinates"": [[[[1.459558084007632, 43.606823296763395], [1.459498840398079, 43.606902339764936], [1.459716395752174, 43.60698844709722], [1.460049212380702, 43.6065444311627], [1.46010845515731, 43.606465378869636], [1.459890901114321, 43.60637927225891], [1.459558084007632, 43.606823296763395]]]], ""type"": ""MultiPolygon""}",3,Faubourgs commerçants,AV DU CIMETIERE,Du lundi au samedi de 9h à 19h sauf dimanches et jours fériés et du 1er au 15 août,"une 1/2 heure gratuite par demi-journée, 1heure = 1€, 2h = 2€, de 2h à 3h = majoration tarifaire jusqu'à 30€"
"43.63699782610035,1.3911880545854662","{""coordinates"": [[[[1.391559768014345, 43.637003000511115], [1.391555366422157, 43.63695603706881], [1.391539787993617, 43.63691034955984], [1.391513529245181, 43.63686732224394], [1.391477386433068, 43.63682825352367], [1.391432443634682, 43.63679433777491], [1.391380074170702, 43.63676661135406], [1.391321879838575, 43.63674590674239], [1.391259616570506, 43.63673285151338], [1.391195169892031, 43.63672785899013], [1.391130519652128, 43.63673105573658], [1.391067601358122, 43.63674236965259], [1.391008358114805, 43.63676144067245], [1.39095457765246, 43.63678769051614], [1.390907879701507, 43.636820331514755], [1.390869691212926, 43.6368583662645], [1.390841195609574, 43.6369006319312], [1.390823219845802, 43.636945852691504], [1.390816333054797, 43.63699265910916], [1.390820746708744, 43.637039613752314], [1.390836324631868, 43.63708530135597], [1.390862570605941, 43.63712832864972], [1.390898725592743, 43.63716739773017], [1.390943668369244, 43.637201313681615], [1.390996025617393, 43.637229040123216], [1.391054220299752, 43.637249744895136], [1.391116496441983, 43.63726280040456], [1.39118093128842, 43.63726779279831], [1.391245594485044, 43.637264596196665], [1.391308500893938, 43.63725328201369], [1.391367744521003, 43.63723421084356], [1.3914215375898, 43.63720796098443], [1.391468235562638, 43.63717531978313], [1.391506411485869, 43.63713728466789], [1.39153491912954, 43.63709501901335], [1.391552894409781, 43.63704979814494], [1.391559768014345, 43.637003000511115]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,BLAGNAC CENTRE,"Du lundi au Samedi ap : 8h-18h, durée maximale : 2h",Gratuit
"43.55444178731306,1.5316807856009047","{""coordinates"": [[[[1.532040277701749, 43.55430001618177], [1.532013891820923, 43.55428130705027], [1.531981099559932, 43.554269070187225], [1.531869598634157, 43.55424178020697], [1.531831339679695, 43.55423708978965], [1.531707766857721, 43.554236212097024], [1.531640255076299, 43.554250216683364], [1.531141522078666, 43.55448034852557], [1.531037018417411, 43.55452857732488], [1.531169633560219, 43.554680575935826], [1.531741954475949, 43.55441648640559], [1.531809279503371, 43.554416955142855], [1.531866032975834, 43.55443084698333], [1.532019956479723, 43.55457856027057], [1.532094704296283, 43.55465029565044], [1.532291973670439, 43.554541560758594], [1.532040277701749, 43.55430001618177]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,MOULIN,"du lundi au samedi : 8h-19h et 8h-12h (S), durée maximale : 1h30",Gratuit
"43.635844030963455,1.3982830583518706","{""coordinates"": [[[[1.398654763329566, 43.63584917471525], [1.39865035612342, 43.63580222052215], [1.398634772676908, 43.63575653394943], [1.398608509658054, 43.635713499226945], [1.398572362986576, 43.63567443270708], [1.398527416858235, 43.63564052869978], [1.398475045160689, 43.635612805479454], [1.398416849521664, 43.63559210442857], [1.398354585913135, 43.635579053013174], [1.398290140109291, 43.63557405544176], [1.398225491227598, 43.63557726515416], [1.398162587829493, 43.63558858310586], [1.39810334792426, 43.63560765776767], [1.39804955914112, 43.635633910749604], [1.398002866105216, 43.63566654562731], [1.39796469515198, 43.6357045829072], [1.397936192375644, 43.635746859167035], [1.397918222210205, 43.63579208104905], [1.397911353618881, 43.635838879081504], [1.39791576002266, 43.6358858423012], [1.397931342963824, 43.6359315289686], [1.397957605835223, 43.63597455484233], [1.397993752290886, 43.63601362154996], [1.398038698161219, 43.63604753475904], [1.398091070033648, 43.63607525817248], [1.398149266022969, 43.63609595938358], [1.398211530115062, 43.63610901090701], [1.398275964323344, 43.63611399935056], [1.398340625925247, 43.63611079878123], [1.398403529828703, 43.63609948073492], [1.398462770117606, 43.63608040592282], [1.398516559116567, 43.636054152753054], [1.398563252410562, 43.63602150867357], [1.39860142318892, 43.635983471200625], [1.39862992537865, 43.6359412037796], [1.398647895060523, 43.63589598178953], [1.398654763329566, 43.63584917471525]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,BLAGNAC CENTRE,"Du lundi au Samedi ap : 8h-18h, durée maximale : 2h",Gratuit
"43.59659001864514,1.4548527703154417","{""coordinates"": [[[[1.45522424899439, 43.59659498608404], [1.455219788735426, 43.59654803322219], [1.455204185591536, 43.59650234479626], [1.455177899363006, 43.596459331314016], [1.455141727360458, 43.59642028175909], [1.455096778726222, 43.59638639925826], [1.455044427635494, 43.596358692429014], [1.454986250244952, 43.59633801954984], [1.454924002206312, 43.59632499823748], [1.454859605375186, 43.59632004127973], [1.45479498889164, 43.59632327349055], [1.454732136436339, 43.59633462236556], [1.454672952304592, 43.59635372626778], [1.454619222212231, 43.596380014924144], [1.4545726018269, 43.59641267326166], [1.454534478283813, 43.59645072957804], [1.454506033237539, 43.59649301137167], [1.454488116301786, 43.596538251676144], [1.454481295488441, 43.596585053724375], [1.454485742799629, 43.59663200644848], [1.454501358049439, 43.59667768613556], [1.454527643667532, 43.59672070876763], [1.454563815455313, 43.59675975851051], [1.454608751686046, 43.5967936410485], [1.454661115334609, 43.596821348236304], [1.454719293303406, 43.59684201227624], [1.454781529442887, 43.5968550335309], [1.454845938986784, 43.59685999969604], [1.454910543880818, 43.596856758292525], [1.454973409223073, 43.59684540948816], [1.455032593509672, 43.59682631443476], [1.455086311434199, 43.59680002542493], [1.455132944223117, 43.59676736705023], [1.455171067590887, 43.596729310540766], [1.455199512514425, 43.59668701958774], [1.455217416356419, 43.59664178800921], [1.45522424899439, 43.59659498608404]]]], ""type"": ""MultiPolygon""}",4,Zone Ceinture centre-Ville,ALL PAUL SABATIER,Du lundi au samedi de 9h à 19h sauf dimanches et jours fériés et du 1er au 15 août,"1heure = 0.50€, 2h = 1€, 4h = 2€, de 4 à 5h = majoration tarifaire jusqu'à 30€"
"43.59208900839736,1.4339058957750057","{""coordinates"": [[[[1.434157903952735, 43.59310936681201], [1.434156992687381, 43.59316952653477], [1.434218650251328, 43.5931700288048], [1.434254953937919, 43.59320625118546], [1.434321880010918, 43.59317084216898], [1.434753298886525, 43.593174291242384], [1.434877122381244, 43.59317527499037], [1.434879854428807, 43.592995263931705], [1.434345727386825, 43.59299100912415], [1.434212061409113, 43.592857538100226], [1.43416067731167, 43.59272402944114], [1.434206002629212, 43.59254852946974], [1.43436290981304, 43.59241419672841], [1.434451508307413, 43.59237790191915], [1.434433068556887, 43.592354119838625], [1.434457370763513, 43.5923333113946], [1.43437983548571, 43.59228546655061], [1.434200666070014, 43.59205440508711], [1.434204023339188, 43.59205292916615], [1.434140815625043, 43.59197720875783], [1.434080988940419, 43.59190005772735], [1.434077584227831, 43.59190145198022], [1.433766355477288, 43.591528603871616], [1.433766994320067, 43.591528324452334], [1.43370231992381, 43.591451881710285], [1.433638284531255, 43.5913751595114], [1.433637645920369, 43.59137542993069], [1.433150936510663, 43.59080010485123], [1.433086083942258, 43.59072342524528], [1.432875102236433, 43.590817718522196], [1.433490952221364, 43.59154571175387], [1.433927007415973, 43.592068116757325], [1.434132576263922, 43.59233323235598], [1.433995943565597, 43.59245022180751], [1.433968641895455, 43.59249186609342], [1.433926135123113, 43.5926564482491], [1.433881012896395, 43.59266562241616], [1.433906594462867, 43.59273208274243], [1.433889074476729, 43.592799921522705], [1.433935113371035, 43.59280619889875], [1.433979541118019, 43.59292164459942], [1.433998671563045, 43.59295036942447], [1.434157903952735, 43.59310936681201]]]], ""type"": ""MultiPolygon""}",3,Faubourgs commerçants,PL DU FER A CHEVAL,Du lundi au samedi de 9h à 19h sauf dimanches et jours fériés et du 1er au 15 août,"une 1/2 heure gratuite par demi-journée, 1heure = 1€, 2h = 2€, de 2h à 3h = majoration tarifaire jusqu'à 30€"
"43.64717302107109,1.4329387555067195","{""coordinates"": [[[[1.432956335617416, 43.64724534880752], [1.432900881283997, 43.6472256478761], [1.43283859819811, 43.64721262407981], [1.432774137284756, 43.647207645743556], [1.432709477894183, 43.64721087471553], [1.432646569134505, 43.64722220237165], [1.432587328719441, 43.64724129461065], [1.432533544292002, 43.64726757251222], [1.432486860803142, 43.64730022116688], [1.432448704075277, 43.64733826965924], [1.432420219763457, 43.64738055423062], [1.432402271735383, 43.647425781271075], [1.432395428288604, 43.64747258114535], [1.432399862310868, 43.64751953384563], [1.43241547404815, 43.64756521566631], [1.432441766016167, 43.64760824252007], [1.432477941445732, 43.64764729827953], [1.432522915285434, 43.64768118894063], [1.432575312581301, 43.64770890561762], [1.432633531365993, 43.647729589387744], [1.43269581493591, 43.647742613291925], [1.432760264015279, 43.64774759150292], [1.432824936364929, 43.647744362671105], [1.432887845629956, 43.6477330349202], [1.432947086428497, 43.64771394253079], [1.433000871071345, 43.64768766444138], [1.4330475545816, 43.64765501558402], [1.433085711134078, 43.647616966898596], [1.433102672269899, 43.64759180136119], [1.433167241491683, 43.64759547565187], [1.433238149164242, 43.64693779702357], [1.433242221976908, 43.646938023229566], [1.433304326507988, 43.64636480115097], [1.433314044486633, 43.64627507249604], [1.433066915427397, 43.64626095847803], [1.433014853027039, 43.6467414224984], [1.433010681549281, 43.64674117694317], [1.432956335617416, 43.64724534880752]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,LALANDE,"Du lundi au Samedi : 9h-12h et 14h-19h, durée maximale : 1h30",Gratuit
"43.668885893584445,1.4292197115276206","{""coordinates"": [[[[1.429591628543913, 43.6688909414214], [1.429587182732744, 43.66884398882259], [1.429571580295579, 43.66879829815505], [1.42954528098496, 43.66875527999087], [1.429509082514933, 43.66871622345617], [1.429464094837009, 43.668682331891574], [1.429411693331497, 43.668654614192384], [1.429353455662801, 43.668633928963715], [1.429291139072493, 43.6686209031942], [1.429226668216398, 43.66861592308969], [1.429161973541742, 43.668619149884734], [1.429099042038543, 43.668630475520665], [1.429039779716062, 43.66864956578945], [1.428985974878535, 43.668675841830215], [1.428939285498931, 43.66870848895885], [1.428901100765289, 43.6687465358066], [1.428872604225831, 43.66878881016507], [1.428854647034012, 43.66883404529008], [1.428847798462214, 43.66888084457773], [1.428852231309606, 43.66892779703599], [1.42886784586999, 43.66897347896756], [1.428894144564955, 43.66901650628112], [1.42893034281938, 43.66905556300373], [1.428975318078794, 43.66908945460268], [1.429027732156839, 43.6691171726632], [1.429085970176546, 43.66913785805197], [1.42914827485408, 43.66915088376113], [1.429212758666572, 43.66915586407656], [1.429277441510709, 43.66915263708548], [1.429340385916857, 43.6691413115231], [1.429399648623119, 43.66912222110395], [1.42945344127903, 43.66909594470704], [1.429500143077229, 43.66906329754403], [1.42953832763547, 43.66902525050322], [1.429566824055689, 43.6689829669856], [1.429584768134128, 43.66893774058342], [1.429591628543913, 43.6688909414214]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,AUCAMVILLE,"Du lundi au Samedi : 9h-18h (semaine) et 9h-12h (S), durée maximale : 1h30",Gratuit
"43.723175708467956,1.4320396045027104","{""coordinates"": [[[[1.431719446961506, 43.723120146968014], [1.431822699690617, 43.72311994263224], [1.432099631127976, 43.72317847773424], [1.432251643819912, 43.72330788624716], [1.4322769878226, 43.7234603985387], [1.432291830093276, 43.723549754908376], [1.432538253456282, 43.72352821758938], [1.432493595794507, 43.72325940863817], [1.43246484415922, 43.7232118132098], [1.43226448872218, 43.72304124178565], [1.432204736787642, 43.72301319304203], [1.4318749677045, 43.72294350054395], [1.431839908134462, 43.72293990218798], [1.431639671961916, 43.72294029666026], [1.43159386500738, 43.7229467519316], [1.431554580883785, 43.722965016079826], [1.431527372108746, 43.72299251772398], [1.431457460354054, 43.72310212415811], [1.431405371674142, 43.72318381376554], [1.431630650220587, 43.72325938432745], [1.431719446961506, 43.723120146968014]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,GRATENTOUR,"Du lundi au dimanche midi : 8h-20h (semaine) et 8h-12h (D), durée maximale : 1h30",Gratuit
"43.59126646834924,1.4450160908427914","{""coordinates"": [[[[1.444581620844996, 43.591875585405106], [1.44453953209765, 43.591960244538875], [1.444772462479639, 43.59202141771111], [1.44545056502053, 43.59065735279212], [1.445492638996266, 43.59057270212016], [1.445259713648325, 43.590511521368484], [1.444581620844996, 43.591875585405106]]]], ""type"": ""MultiPolygon""}",3,Faubourgs commerçants,GRANDE RUE SAINT-MICHEL,Du lundi au samedi de 9h à 19h sauf dimanches et jours fériés et du 1er au 15 août,"une 1/2 heure gratuite par demi-journée, 1heure = 1€, 2h = 2€, de 2h à 3h = majoration tarifaire jusqu'à 30€"
"43.57587661145279,1.473257485050151","{""coordinates"": [[[[1.474017277766841, 43.576570740813125], [1.474103796488359, 43.5766351161643], [1.474280903490168, 43.57650930615577], [1.472497683478297, 43.57518247880864], [1.472411156129098, 43.57511810205849], [1.472234061688316, 43.57524390942629], [1.474017277766841, 43.576570740813125]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,TERECHKOVA,"Du lundi au Samedi : 9h-12h et 14h-19h, durée maximale : 1h30",Gratuit
"43.619226377444484,1.284956760184144","{""coordinates"": [[[[1.284771089389787, 43.61928133282383], [1.285286957106755, 43.6193816036675], [1.285406640792873, 43.61940486786193], [1.285470685438813, 43.61923096850911], [1.284831832790483, 43.619106790643976], [1.284825161210628, 43.619105638365696], [1.284618493193404, 43.61907425005193], [1.284497224360937, 43.61905583192994], [1.284446520297397, 43.61923203535601], [1.284771089389787, 43.61928133282383]]]], ""type"": ""MultiPolygon""}",5,Zone bleue,PIBRAC,"Du lundi au Samedi : 8h30-12h30 et 14h-19h 8h30-12h, durée maximale : 1h30",Gratuit
