Geo Point,Geo Shape,eq_nom_equipement,eq_gestionnaire,eq_horaires,eq_telephone,numero,lib_off,id_secteur_postal,eq_ville,eq_secteur,eq_quartier,eq_site_web
"43.574870208885514,1.4639464323059583","{""coordinates"": [[1.463946432305958, 43.574870208885514]], ""type"": ""MultiPoint""}",MAISON DE QUARTIER RANGUEIL,Mairie de Toulouse - DGA Culture,"9h - 13h et 14h - 17h30 (lundi au vendredi) Expos: 9h à 19h sans interruption, ts les jours, sauf le lundi",05 61 25 49 26,19,RUE CLAUDE DE FORBIN,31400,TOULOUSE,5,5.2,www.cultures.toulouse.fr
"43.57879671469887,1.4465484274942493","{""coordinates"": [[1.446548427494249, 43.57879671469887]], ""type"": ""MultiPoint""}",MAISON DES ASSOCIATIONS NIEL,Mairie de Toulouse - Autre Direction,Du Lundi au Vendredi  : 9h - 19h /  le samedi : 9h - 16h. Salle d'expos ouverte jusqu'à 23h30,05 62 26 81 00,81,RUE SAINT ROCH,31400,TOULOUSE,5,5.3,www.toulouse.fr
"43.570422847313374,1.4028565308259797","{""coordinates"": [[1.40285653082598, 43.570422847313374]], ""type"": ""MultiPoint""}",ATELIER B,Mairie de Toulouse - DGA Culture,"Accueil 8h30-12h30 / 13h30-17h (17h30 le mercredi et 16h30 le vendredi). Horaires expos: variables, mais en journée et sur plas horaires de l'accueil quoi qu'il en soit.",05 61 41 56 80,3,PL ANDRE ABBAL,31100,TOULOUSE,6,6.3,
"43.579886476533225,1.4082187334782321","{""coordinates"": [[1.408218733478232, 43.579886476533225]], ""type"": ""MultiPoint""}",CENTRE D'ANIMATION DE BAGATELLE,Mairie de Toulouse - DGA Culture,,05 61 44 82 61,11,IMP DU BACHAGA BOUALAM,31100,TOULOUSE,2,2.3,www.toulouse.fr
"43.57406042203928,1.4851154765409242","{""coordinates"": [[1.485115476540924, 43.57406042203928]], ""type"": ""MultiPoint""}",CENTRE D'ANIMATION MONTAUDRAN,Association,,05 61 54 25 19,3,IMP GASTON GENIN,31400,TOULOUSE,5,5.1,www.toulouse.fr
"43.570422847313374,1.4028565308259797","{""coordinates"": [[1.40285653082598, 43.570422847313374]], ""type"": ""MultiPoint""}",CENTRE D'ANIMATION REYNERIE,Mairie de Toulouse - DGA Culture,8h30-12h30 et 13h30-17h. Mercred 17h30 et vendredi 16h30. Expos : dans salle polyvalente jusqu'à 20h.  Ouverture jusqu'à 22h (voire plus) pour les spectacles (+ adaptation des horaires selon les activités),05 61 41 56 80,3,PL ANDRE ABBAL,31100,TOULOUSE,6,6.3,www.toulouse.fr
"43.60048977778155,1.4740541317313705","{""coordinates"": [[1.47405413173137, 43.60048977778155]], ""type"": ""MultiPoint""}",MAISON DE QUARTIER ACHIARY,Association,,05 61 34 99 03,42,RUE HENRIETTE ACHIARY,31500,TOULOUSE,4,4.3,www.toulouse.fr
"43.57895295754114,1.3837735983225863","{""coordinates"": [[1.383773598322586, 43.57895295754114]], ""type"": ""MultiPoint""}",MAISON DE QUARTIER DES PRADETTES,Mairie de Toulouse - DGA Culture,,05 61 40 40 98,TOUT,RUE FERDINAND DE LESSEPS,31100,TOULOUSE,6,6.2,www.toulouse.fr
"43.64677937580175,1.4329903739850787","{""coordinates"": [[1.432990373985079, 43.64677937580175]], ""type"": ""MultiPoint""}",MAISON DE QUARTIER LALANDE,Association,,05 61 47 39 79,1,CHE DE L EGLISE DE LALANDE,31200,TOULOUSE,3,3.2,
"43.6190285168825,1.4010020414118816","{""coordinates"": [[1.401002041411882, 43.6190285168825]], ""type"": ""MultiPoint""}",MJC ANCELY,Association,,05 61 49 05 74,7,ALL DES CAUSSES,31300,TOULOUSE,6,6.1,www.toulouse.fr
"43.634709743089644,1.4660714361142224","{""coordinates"": [[1.466071436114222, 43.634709743089644]], ""type"": ""MultiPoint""}",MJC CROIX DAURADE,Association,,05 61 48 64 03,141,CHE DE NICOL,31200,TOULOUSE,3,3.3,www.toulouse.fr
"43.585618401232615,1.4659300282527863","{""coordinates"": [[1.465930028252786, 43.585618401232615]], ""type"": ""MultiPoint""}",MJC PONT DES DEMOISELLES,Association,Lundi - mardi - jeudi - vendredi : 9h30 - 12h; 14h - 18h30 / Mercredi :14h - 18h30,05 61 52 24 33,0063B,AV ANTOINE DE ST EXUPERY,31400,TOULOUSE,5,5.1,www.toulouse.fr
"43.573248867479926,1.4191641878268921","{""coordinates"": [[1.419164187826892, 43.573248867479926]], ""type"": ""MultiPoint""}",MJC PREVERT,Association,Lundi - Jeudi : 14h-18h45 / Mardi - Mercredi : 9h-12h ;14h - 18h45 / Vendredi : 14h - 18h15,05 61 41 56 30,292,RTE DE SEYSSES,31100,TOULOUSE,2,2.3,www.toulouse.fr
