Geo Point,Geo Shape,ins_nom,ins_complexe_nom_cplmt,ins_codepostal,secteur,quartier,acces_libre,ins_nb_equ,ins_detail_equ,ins_complexe_nom,ins_adresse,ins_commune,acces_public_horaires,acces_club_scol,ins_nom_cplmt,ins_id_install
"43.60939136775724,1.382167246278366","{""coordinates"": [[1.382167246278366, 43.60939136775724]], ""type"": ""MultiPoint""}",BOULODROME SAINT MARTIN  DU TOUCH,,31300,Toulouse Ouest,6.1,oui,1,EXTERIEUR,Equipement isolé,Impasse du Docteur Joseph Laurent,TOULOUSE,,,,
"43.569145999578176,1.3990549992082735","{""coordinates"": [[1.399054999208273, 43.569145999578176]], ""type"": ""MultiPoint""}",BOULODROME REYNERIE,,31100,Toulouse Ouest,6.3,oui,1,EXTERIEUR,Equipement isolé,RUE CARLO SARRABEZOLLES,,,,,
"43.5747160031822,1.46560400443603","{""coordinates"": [[1.46560400443603, 43.5747160031822]], ""type"": ""MultiPoint""}",BOULODROME RANGUEIL,COSEC de Rangueil,31400,Toulouse Sud Est,5.2,oui,1,EXTERIEUR,COMPLEXE SPORTIF RANGUEIL,27 CHE DU CANAL,,,,,
"43.574731991638636,1.4524260079905866","{""coordinates"": [[1.452426007990587, 43.574731991638636]], ""type"": ""MultiPoint""}",BOULODROME ETIENNE ROUX,,31400,Toulouse Sud Est,5.2,oui,1,exterieur/ CLUB HOUSE,Equipement isolé,1 AV LEON VIALA,TOULOUSE,,,,
"43.59647851683955,1.4271229935523853","{""coordinates"": [[1.427122993552385, 43.59647851683955]], ""type"": ""MultiPoint""}",BOULODROME ROGUET,,31300,Toulouse Rive Gauche,2.1,oui,1,EXTERIEUR,Equipement isolé,Rue de Gascogne,TOULOUSE,,,,
"43.61450300331545,1.4069069992535774","{""coordinates"": [[1.406906999253577, 43.61450300331545]], ""type"": ""MultiPoint""}",BOULODROME JARDIN DU SOLEIL D'OR,,31200,Toulouse Nord,3.2,oui,1,EXTERIEUR,Equipement isolé,Rue Auguste Lafront,TOULOUSE,,,,
"43.59421199932225,1.4356589996307763","{""coordinates"": [[1.435658999630776, 43.59421199932225]], ""type"": ""MultiPoint""}",BOULODROME CAZABONNE,,31300,Toulouse Rive Gauche,2.1,oui,1,EXTERIEUR,Equipement isolé,Cours Dillon,TOULOUSE,,,,
"43.58977399356101,1.3786729913494054","{""coordinates"": [[1.378672991349405, 43.58977399356101]], ""type"": ""MultiPoint""}",BOULODROME DE LARDENNE,,31100,Toulouse Ouest,6.2,oui,1,EXTERIEUR,Equipement isolé,Chemin de Catala,TOULOUSE,,,,
"43.55983399772993,1.3962099926698257","{""coordinates"": [[1.396209992669826, 43.55983399772993]], ""type"": ""MultiPoint""}",BOULODROME TINTORET,,31100,Toulouse Ouest,6.3,oui,1,EXTERIEUR,Equipement isolé,Rue du Recteur Dottin,TOULOUSE,,,,
"43.6270420021858,1.4279129988679877","{""coordinates"": [[1.427912998867988, 43.6270420021858]], ""type"": ""MultiPoint""}",BOULODROME DUCHEIN,,31200,Toulouse Nord,3.1,non,1,1 TERRAIN EXTERIEUR / CLUB HOUSE,Equipement isolé,33 Rue René Fonquerne,TOULOUSE,,oui,,
"43.575238998974704,1.4094120012011253","{""coordinates"": [[1.409412001201125, 43.575238998974704]], ""type"": ""MultiPoint""}",BOULODROME PAPUS,,31100,Toulouse Rive Gauche,2.3,oui,1,EXTERIEUR,Equipement isolé,RUE DU BEARN,TOULOUSE,,,,
"43.583626996252605,1.477795998349269","{""coordinates"": [[1.477795998349269, 43.583626996252605]], ""type"": ""MultiPoint""}",BOULODROME EMILE LAFONT,,31500,Toulouse Sud Est,5.1,oui,1,EXTERIEUR,Equipement isolé,254 AV JEAN RIEUX,,,,,
"43.598790996407416,1.4010829926842083","{""coordinates"": [[1.401082992684208, 43.598790996407416]], ""type"": ""MultiPoint""}",BOULODROME COUVERT JARDIN DU BARRY,,31300,Toulouse Rive Gauche,2.4,,2,COUVERT/EXTERIEUR,Equipement isolé,RUE GASTON RAMON,,oui,,,
"43.60923399457909,1.4153009941651264","{""coordinates"": [[1.415300994165126, 43.60923399457909]], ""type"": ""MultiPoint""}",BOULODROME TRACASSIN,,31000,Toulouse Centre,1.2,oui,1,EXTERIEUR,Equipement isolé,119 RUE DES AMIDONNIERS,TOULOUSE,,,,
