Geo Point,Geo Shape,lib_voie,motdir,no,commune,insee,nb_places,coord_x,coord_y
"43.59993966695019,1.4402144583012784","{""coordinates"": [[1.440214458301278, 43.59993966695019]], ""type"": ""MultiPoint""}",QU DE LA DAURADE,DAURADE (QU DE LA DAURADE),4,TOULOUSE,31555,12,1.440214,43.59994
"43.60025987726743,1.439867972922341","{""coordinates"": [[1.439867972922341, 43.60025987726743]], ""type"": ""MultiPoint""}",QU DE LA DAURADE,DAURADE (QU DE LA DAURADE),5,TOULOUSE,31555,12,1.439868,43.60026
"43.596292878211734,1.4443017191928964","{""coordinates"": [[1.444301719192896, 43.596292878211734]], ""type"": ""MultiPoint""}",RUE PHARAON,PHARAON (RUE PHARAON),34,TOULOUSE,31555,6,1.444302,43.596293
"43.69951748527942,1.3719203037265644","{""coordinates"": [[1.371920303726564, 43.69951748527942]], ""type"": ""MultiPoint""}",RUE DE PESSOLES,PESSOLES (RUE DE PESSOLES),,GAGNAC-SUR-GARONNE,31205,6,1.37192,43.699517
"43.63486747236837,1.3977131387059996","{""coordinates"": [[1.397713138706, 43.63486747236837]], ""type"": ""MultiPoint""}",RUE DES CAOUECS,CAOUECS (RUE DES CAOUECS),,BLAGNAC,31069,10,1.397713,43.634867
"43.62362605743386,1.494971376079055","{""coordinates"": [[1.494971376079055, 43.62362605743386]], ""type"": ""MultiPoint""}",ALL JOSE CABANIS,CABANIS (ALL JOSE CABANIS),10,BALMA,31044,19,1.494971,43.623626
"43.58165004918801,1.388937796363687","{""coordinates"": [[1.388937796363687, 43.58165004918801]], ""type"": ""MultiPoint""}",AV LOUIS ARISTE PASSERIEU,PASSERIEU (AV LOUIS ARISTE PASSERIEU),42,TOULOUSE,31555,2,1.388938,43.58165
"43.535105465068895,1.346088926748504","{""coordinates"": [[1.346088926748504, 43.535105465068895]], ""type"": ""MultiPoint""}",AV POMPIDOU,POMPIDOU (AV POMPIDOU),,CUGNAUX,31157,6,1.346089,43.535105
"43.59939224493277,1.4360661803119992","{""coordinates"": [[1.436066180311999, 43.59939224493277]], ""type"": ""MultiPoint""}",GRANDE-RUE SAINT NICOLAS,NICOLAS (GRANDE-RUE SAINT NICOLAS),1,TOULOUSE,31555,4,1.436066,43.599392
"43.60288389066593,1.4360976547944968","{""coordinates"": [[1.436097654794497, 43.60288389066593]], ""type"": ""MultiPoint""}",QU LUCIEN LOMBARD,LOMBARD (QU LUCIEN LOMBARD),24,TOULOUSE,31555,8,1.436098,43.602884
"43.721649165414846,1.4323760271728805","{""coordinates"": [[1.43237602717288, 43.721649165414846]], ""type"": ""MultiPoint""}",RUE CAYSSIALS,CAYSSIALS (RUE CAYSSIALS),,GRATENTOUR,31230,6,1.432376,43.721649
"43.587389581435005,1.4629079220738","{""coordinates"": [[1.4629079220738, 43.587389581435005]], ""type"": ""MultiPoint""}",PL ROGER ARNAUD,ARNAUD (PL ROGER ARNAUD),1,TOULOUSE,31555,6,1.462908,43.58739
"43.64917002076116,1.3263163627995367","{""coordinates"": [[1.326316362799537, 43.64917002076116]], ""type"": ""MultiPoint""}",AV DE VERSAILLES,VERSAILLES (AV DE VERSAILLES),,CORNEBARIEU,31150,2,1.326316,43.64917
"43.59812981327331,1.4365964838399639","{""coordinates"": [[1.436596483839964, 43.59812981327331]], ""type"": ""MultiPoint""}",PL LAGANNE,LAGANNE (PL LAGANNE),14,TOULOUSE,31555,8,1.436596,43.59813
"43.58323558203637,1.346744857286458","{""coordinates"": [[1.346744857286458, 43.58323558203637]], ""type"": ""MultiPoint""}",PL DE LA MAIRIE,MAIRIE (PL DE LA MAIRIE),,TOURNEFEUILLE,31557,12,1.346745,43.583236
"43.60850047199286,1.3829114261145024","{""coordinates"": [[1.382911426114502, 43.60850047199286]], ""type"": ""MultiPoint""}",RTE DE BAYONNE,BAYONNE (RTE DE BAYONNE),136,TOULOUSE,31555,4,1.382911,43.6085
"43.604802945409176,1.4477257160277246","{""coordinates"": [[1.447725716027725, 43.604802945409176]], ""type"": ""MultiPoint""}",PL DU PDT THOMAS WILSON,WILSON (PL DU PDT THOMAS WILSON),1,TOULOUSE,31555,10,1.447726,43.604803
"43.615258515185936,1.4350275626284918","{""coordinates"": [[1.435027562628492, 43.615258515185936]], ""type"": ""MultiPoint""}",BD DE LA MARQUETTE,MARQUETTE (BD DE LA MARQUETTE),1,TOULOUSE,31555,48,1.435028,43.615259
"43.61541713641995,1.4355064939637256","{""coordinates"": [[1.435506493963726, 43.61541713641995]], ""type"": ""MultiPoint""}",BD DE LA MARQUETTE,MARQUETTE (BD DE LA MARQUETTE),1,TOULOUSE,31555,18,1.435506,43.615417
"43.57505625918765,1.4516795032777834","{""coordinates"": [[1.451679503277783, 43.57505625918765]], ""type"": ""MultiPoint""}",AV JULES JULIEN,JULIEN (AV JULES JULIEN),26,TOULOUSE,31555,4,1.45168,43.575056
"43.57493956082438,1.451488739796712","{""coordinates"": [[1.451488739796712, 43.57493956082438]], ""type"": ""MultiPoint""}",AV JULES JULIEN,JULIEN (AV JULES JULIEN),45,TOULOUSE,31555,4,1.451489,43.57494
"43.57580792420776,1.4511427320115993","{""coordinates"": [[1.451142732011599, 43.57580792420776]], ""type"": ""MultiPoint""}",AV JULES JULIEN,JULIEN (AV JULES JULIEN),65,TOULOUSE,31555,6,1.451143,43.575808
"43.57762895182627,1.4506706600976078","{""coordinates"": [[1.450670660097608, 43.57762895182627]], ""type"": ""MultiPoint""}",AV JULES JULIEN,JULIEN (AV JULES JULIEN),78,TOULOUSE,31555,6,1.450671,43.577629
"43.57809005535553,1.4504685604314365","{""coordinates"": [[1.450468560431436, 43.57809005535553]], ""type"": ""MultiPoint""}",AV JULES JULIEN,JULIEN (AV JULES JULIEN),86,TOULOUSE,31555,6,1.450469,43.57809
"43.578982385227555,1.4501444493241857","{""coordinates"": [[1.450144449324186, 43.578982385227555]], ""type"": ""MultiPoint""}",AV JULES JULIEN,JULIEN (AV JULES JULIEN),104,TOULOUSE,31555,6,1.450144,43.578982
"43.5739084757361,1.451819175060847","{""coordinates"": [[1.451819175060847, 43.5739084757361]], ""type"": ""MultiPoint""}",AV JULES JULIEN,JULIEN (AV JULES JULIEN),17,TOULOUSE,31555,6,1.451819,43.573908
"43.60915457252353,1.4532524532269018","{""coordinates"": [[1.453252453226902, 43.60915457252353]], ""type"": ""MultiPoint""}",ALL JEAN JAURES,JAURES (ALL JEAN JAURES),75,TOULOUSE,31555,16,1.453252,43.609155
"43.609057546766756,1.4532202468007798","{""coordinates"": [[1.45322024680078, 43.609057546766756]], ""type"": ""MultiPoint""}",ALL JEAN JAURES,JAURES (ALL JEAN JAURES),75,TOULOUSE,31555,6,1.45322,43.609058
"43.609003719133334,1.4531204648906635","{""coordinates"": [[1.453120464890663, 43.609003719133334]], ""type"": ""MultiPoint""}",ALL JEAN JAURES,JAURES (ALL JEAN JAURES),75,TOULOUSE,31555,6,1.45312,43.609004
