Geo Point,Geo Shape,nom_equipement,gestionnaire,telephone,site_web,acces_metro,acces_bus,x,y,numero,lib_off,id_secteur_postal,ville,secteur,quartier,jauge_salle_de_spectacle,oid
"43.61631388862685,1.453585492400052","{""coordinates"": [[1.453585492400052, 43.61631388862685]], ""type"": ""MultiPoint""}",ESPACE BONNEFOY,Mairie de Toulouse - DGA Culture,05 67 73 83 60,www.toulouse.fr,Marengo - SNCF (A),"38, 42, 44",1575182,2269616,4,RUE DU FAUBOURG BONNEFOY,31500,TOULOUSE,4,4.1,250 pl,316
"43.59828278794131,1.430915483400045","{""coordinates"": [[1.430915483400045, 43.59828278794131]], ""type"": ""MultiPoint""}",ESPACE SAINT CYPRIEN - CHAPEAU ROUGE,Mairie de Toulouse - DGA Culture,05 61 22 27 77,www.cultures.toulouse.fr,"Capitole, Saint-Cyprien-République (A)","1, 3, 45, 66 (Arrêt St-Cyprien)",1573315,2267647,56,ALL CHARLES DE FITTE,31300,TOULOUSE,2,2.1,93 pl,320
"43.584400923377736,1.427594060885855","{""coordinates"": [[1.427594060885855, 43.584400923377736]], ""type"": ""MultiPoint""}",LE BIJOU,Structure commerciale,05 61 42 95 07,www.le-bijou.net,,12,1573018,2266110,123,AV DE MURET,31300,TOULOUSE,2,2.2,100 pl,325
"43.631441415845735,1.472833857786347","{""coordinates"": [[1.472833857786347, 43.631441415845735]], ""type"": ""MultiPoint""}",LE GRENIER THEATRE,Association,05 61 48 21 00,www.legreniertheatre.org,Argoulets (A),19,1576766,2271268,14,IMP DE GRAMONT,31200,TOULOUSE,4,4.1,100 pl,326
"43.64092387322595,1.450061031538747","{""coordinates"": [[1.450061031538747, 43.64092387322595]], ""type"": ""MultiPoint""}",LE METRONUM,Mairie de Toulouse - DGA Culture,,,Borderouge (B),19 - 26 - 36 - 40 - 41 - 44 - 73 - 114,1574948,2272355,TOUT,RPT MADAME DE MONDONVILLE,31200,TOULOUSE,3,3.3,500 pl,329
"43.61195862330859,1.438319987637999","{""coordinates"": [[1.438319987637999, 43.61195862330859]], ""type"": ""MultiPoint""}",LE REX DE L'HUMOUR,Structure commerciale,05 81 76 06 91,www.lerexdelhumour.com,Campans Caffarelli (B),"70, 71",1573941,2269155,15,AV HONORE SERRES,31000,TOULOUSE,1,1.2,250 pl,330
"43.585618401232615,1.465930028252786","{""coordinates"": [[1.465930028252786, 43.585618401232615]], ""type"": ""MultiPoint""}",MJC PONT DES DEMOISELLES,Association,05 61 52 24 33,www.toulouse.fr,,10,1576116,2266188,0063B,AV ANTOINE DE ST EXUPERY,31400,TOULOUSE,5,5.1,200 pl,331
"43.56410019489423,1.413755560717884","{""coordinates"": [[1.413755560717884, 43.56410019489423]], ""type"": ""MultiPoint""}",SALLE LAFOURGUETTE,Mairie de Toulouse - DGA Culture,05 61 43 60 20,www.lafuorguette.com,,,1571858,2263876,28,RUE DE GIRONIS,31100,TOULOUSE,6,6.4,262 pl,337
"43.603870791822025,1.44405207645748","{""coordinates"": [[1.44405207645748, 43.603870791822025]], ""type"": ""MultiPoint""}",THEATRE DU CAPITOLE,Mairie de Toulouse - DGA Culture,05 61 63 13 13,www.theatre-du-capitole.fr,Capitole (A),ncv,1574387,2268248,1,PL DU CAPITOLE,31000,TOULOUSE,1,1.1,1156 pl,342
"43.59861999798221,1.453934613725936","{""coordinates"": [[1.453934613725936, 43.59861999798221]], ""type"": ""MultiPoint""}",THEATRE DU GRAND ROND,Association,05 61 62 14 85,www.grand-rond.org,François Verdier (B),"1, 10, 16, 22, 27, 29, 78, 80",1575174,2267650,23,RUE DES POTIERS,31000,TOULOUSE,1,1.3,100 pl,344
