Geo Point,Geo Shape,ins_nom,ins_complexe_nom_cplmt,ins_codepostal,secteur,quartier,acces_libre,ins_nb_equ,ins_detail_equ,ins_complexe_nom,ins_adresse,ins_commune,acces_public_horaires,acces_club_scol,ins_nom_cplmt,ins_id_install
"43.59213799645488,1.389207003788383","{""coordinates"": [[1.389207003788383, 43.59213799645488]], ""type"": ""MultiPoint""}",GYMNASE LARDENNE,Complexe sportif de Lardenne,31100,Toulouse Ouest,6.2,non,2,Salle multisports + SALLE DE REUNION,COMPLEXE SPORTIF LARDENNE,AVENUE DE LARDENNE,,oui,oui,,
"43.576820996886134,1.4876430057281924","{""coordinates"": [[1.487643005728192, 43.576820996886134]], ""type"": ""MultiPoint""}",GYMNASE HENRI GUILLAUMET,,31400,Toulouse Sud Est,5.1,non,2,mur d'escalade / Salle multisports,Equipement isolé,CHEMIN BITET,TOULOUSE,non,oui,,
"43.58474899923988,1.4620399963980524","{""coordinates"": [[1.462039996398052, 43.58474899923988]], ""type"": ""MultiPoint""}",GYMNASE ANATOLE FRANCE,Complexe Anatole France,31400,Toulouse Sud Est,5.1,non,1,,,21 Boulevard de la Méditerranée,TOULOUSE,oui,oui,,
"43.64253699837856,1.4408930066719767","{""coordinates"": [[1.440893006671977, 43.64253699837856]], ""type"": ""MultiPoint""}",GYMNASE GEORGES RIGAL,,31200,Toulouse Nord,3.3,,2,SALLE OMNISPORT/SALLE REUNION,STADE GEORGES RIGAL,RUE RAPHAEL,TOULOUSE,oui,oui,,
"43.57825799429332,1.3840899967699094","{""coordinates"": [[1.384089996769909, 43.57825799429332]], ""type"": ""MultiPoint""}",GYMNASE DES PRADETTES,COMPLEXE SPORTIF DES PRADETTES,31100,Toulouse Ouest,6.2,non,3,GYMNASE/SALLE ARTS MARTIAUX/SALLE DANSE,COMPLEXE SPORTIF DES PRADETTES,RUE FERDINAND DE LESSEPS,,oui,oui,,
"43.61745599925804,1.4797290031488695","{""coordinates"": [[1.479729003148869, 43.61745599925804]], ""type"": ""MultiPoint""}",GYMNASE DES ARGOULETS,,31500,Toulouse Est,4.2,,1,,BASE DE SPORTS ET DE LOISIRS DES ARGOULETS,RUE DINETARD,,oui,oui,,
"43.60787700347689,1.4401940016500145","{""coordinates"": [[1.440194001650015, 43.60787700347689]], ""type"": ""MultiPoint""}",GYMNASE SAINT SERNIN,,31000,Toulouse Centre,1.1,,10,2 SALLES DOJO/2 SALLES DANSE/SALLE OMNISPORT/1 SALLE MUSCU/1 SALLE BOXE/2 SALLE POLY/SALLE CHAPELLE,COMPLEXE SPORTIF SAINT SERNIN,4 Rue de la Chaîne,TOULOUSE,oui,oui,,
"43.63846499890063,1.4695709971125719","{""coordinates"": [[1.469570997112572, 43.63846499890063]], ""type"": ""MultiPoint""}",GYMNASE GEORGES OHNET,COMPLEXE SPORTIF GEORGES OHNET,31200,Toulouse Nord,3.3,,2,SALLE MULTISPORTS/SALLE GYMNASTIQUE,COMPLEXE SPORTIF GEORGES OHNET,5 Rue Georges Ohnet,TOULOUSE,oui,oui,,
"43.58817700266578,1.3786289991164253","{""coordinates"": [[1.378628999116425, 43.58817700266578]], ""type"": ""MultiPoint""}",GYMNASE SCOLAIRE DE LARDENNE,,31100,Toulouse Ouest,6.2,,1,SALLE BASKET/VOLLEY,Equipement isolé,CHEMIN ROCAMADOUR,,oui,oui,,
"43.61644199676619,1.4766649974980137","{""coordinates"": [[1.476664997498014, 43.61644199676619]], ""type"": ""MultiPoint""}",GYMNASE BERTRAND SONCOURT,,31500,Toulouse Est,4.2,,1,,Equipement isolé,CHEMIN CASSAING,,oui,oui,,
"43.56443999961174,1.3993400074631075","{""coordinates"": [[1.399340007463107, 43.56443999961174]], ""type"": ""MultiPoint""}",GYMNASE ALBAN MINVILLE,,31100,Toulouse Ouest,6.3,,2,GYMNASE/MUR ESCALADE,COMPLEXE SPORTIF ALBAN MINVILLE,1 Place Martin Luther King,TOULOUSE,,oui,,
"43.61223599731189,1.435355999094675","{""coordinates"": [[1.435355999094675, 43.61223599731189]], ""type"": ""MultiPoint""}",COMPLEXE SPORTIF COMPANS CAFARELLI,COMPLEXE SPORTIF COMPANS CAFARELLI,31000,Toulouse Centre,1.2,,2,GYMNASE COMPANS CAFARELLI/Grand Palais des sports André-Brouat,COMPLEXE SPORTIF COMPANS CAFARELLI,"3, RUE PIERRE LAPLACE",,oui,oui,,
"43.60742999504188,1.4551169966591309","{""coordinates"": [[1.455116996659131, 43.60742999504188]], ""type"": ""MultiPoint""}",GYMNASE BÂTIMENT C LEO LAGRANGE,,31000,Toulouse Centre,1.3,,5,GYMNASE /SALLE BOXE ANGLAISE/SALLE BOXE FRANÇAISE /SALLE DE DANSE/SALLE DE LUTTE /SALLES DE REUNION,COMPLEXE SPORTIF LEO LAGRANGE,34 Boulevard Pierre-Paul Riquet,TOULOUSE,oui,oui,,
"43.59794000176677,1.4413880042153469","{""coordinates"": [[1.441388004215347, 43.59794000176677]], ""type"": ""MultiPoint""}",GYMNASE FABRE,,31000,Toulouse Centre,1.1,,2,SALLE MULTISPORTS / SALLE CARDIOTRAINNING,Equipement isolé,Avenue de la Garonnette,TOULOUSE,oui,oui,,
"43.607402995181765,1.4789289906376852","{""coordinates"": [[1.478928990637685, 43.607402995181765]], ""type"": ""MultiPoint""}",GYMNASE SOUPETARD,,31500,Toulouse Est,4.2,,1,,Equipement isolé,11 RUE DE LA SOLIDARITE,,oui,oui,,
"43.62813899786738,1.4604589972228186","{""coordinates"": [[1.460458997222819, 43.62813899786738]], ""type"": ""MultiPoint""}",GYMNASE LAPUJADE,,31200,Toulouse Nord,3.3,,1,,Equipement isolé,26 ROUTE D'ALBI,TOULOUSE,oui,oui,,
"43.58140299379275,1.432342005067286","{""coordinates"": [[1.432342005067286, 43.58140299379275]], ""type"": ""MultiPoint""}",GYMNASE DANIEL FAUCHER (HALLE DES SPORTS),Stade Inter-universitaire Daniel FAUCHER,31400,Toulouse Sud Est,5.3,,5,Salle multisports / 2 Court de Tennis / Tank à ramer / Salle de Musculation,COMPLEXE SPORTIF DANIEL FAUCHER,7 ALL DU PR CAMILLE SOULA,,oui,,,
"43.6400979970623,1.4396019997414122","{""coordinates"": [[1.439601999741412, 43.6400979970623]], ""type"": ""MultiPoint""}",GYMNASE BAYARD,,31200,Toulouse Nord,3.3,non,1,,COMPLEXE SPORTIF BAYARD,ROUTE DE LAUNAGUET,,oui,oui,,
"43.64091699824856,1.4352489928022523","{""coordinates"": [[1.435248992802252, 43.64091699824856]], ""type"": ""MultiPoint""}",GYMNASE LALANDE,COMPLEXE SPORTIF DE LALANDE,31200,Toulouse Nord,3.2,non,1,,COMPLEXE SPORTIF DE LALANDE,CHEMIN DU SEMINAIRE,,non,oui,,
"43.620394004549915,1.433505000555114","{""coordinates"": [[1.433505000555114, 43.620394004549915]], ""type"": ""MultiPoint""}",GYMNASE FREDERIC ESTEBE,,31200,Toulouse Nord,3.1,,1,,Equipement isolé,RUE DU GENERAL BOURBAKI,,oui,oui,,
"43.621587003079114,1.4437030059537073","{""coordinates"": [[1.443703005953707, 43.621587003079114]], ""type"": ""MultiPoint""}",GYMNASE PIERRE ET MARIE CURIE,,31200,Toulouse Nord,3.1,,1,,Equipement isolé,RUE DE LA JEUNESSE,,oui,oui,,
"43.58449800117787,1.4241670070317485","{""coordinates"": [[1.424167007031748, 43.58449800117787]], ""type"": ""MultiPoint""}",GYMNASE MAURICE BECANE,,31300,Toulouse Rive Gauche,2.2,non,2,1 GYMNASE 1 SALLE DOJO,Equipement isolé,RUE BOURTHOUMIEUX,,,,,
