Geo Point,Geo Shape,lieu_de_vote,adresse,bureaux,detail_emplacement
"43.57473739590029,1.4243792405952214","{""coordinates"": [1.424379240595221, 43.57473739590029], ""type"": ""Point""}",École élementaire Les Oustalous,65 Route d’Espagne,90,Une série de panneaux devant l'école
"43.61246597759501,1.4484714037462287","{""coordinates"": [1.448471403746229, 43.61246597759501], ""type"": ""Point""}",École élementaire Bayard,60 rue Matabiau,13 à 17,"Une série de panneaux, place Roquelaine"
"43.61678927856214,1.4541077888737728","{""coordinates"": [1.454107788873773, 43.61678927856214], ""type"": ""Point""}",École élementaire Bonnefoy,18 rue du faubourg Bonnefoy,20 à 23,Une série de panneaux devant l'école
"43.62134717462406,1.442927472140916","{""coordinates"": [1.442927472140916, 43.62134717462406], ""type"": ""Point""}",École élementaire Pierre et Marie Curie,36 rue de la Jeunesse,27 à 30,Une série de panneaux devant l'école
"43.58098414061019,1.4493557669876327","{""coordinates"": [1.449355766987633, 43.58098414061019], ""type"": ""Point""}",École élementaire Ricardie 3,56 avenue de l’URSS,67 à 69A,Une série de panneaux devant l'école
"43.58079840571096,1.4382219774320188","{""coordinates"": [1.438221977432019, 43.58079840571096], ""type"": ""Point""}",École élementaire André Daste,4 avenue De Lattre de Tassigny,70 à 73,"Une série de panneaux, sur grilles devant l'école"
"43.57375488481142,1.4543162831866265","{""coordinates"": [1.454316283186627, 43.57375488481142], ""type"": ""Point""}",École élementaire Jules Julien,11 avenue des écoles Jules Julien,76 à 81A,Une série de panneaux devant l'école
"43.582830567186534,1.426353591537777","{""coordinates"": [1.426353591537777, 43.582830567186534], ""type"": ""Point""}",École élementaire Maurice Becanne,85 avenue de Muret,84 à 85,"Une série de panneaux, sur les trottoirs"
"43.57813924258603,1.4141330880294756","{""coordinates"": [1.414133088029476, 43.57813924258603], ""type"": ""Point""}",École élementaire Sylvain Dauriac,39 rue Paul Lambert,94 à 96,Une série de panneaux devant l'école
"43.58120725102688,1.3985145628305542","{""coordinates"": [1.398514562830554, 43.58120725102688], ""type"": ""Point""}",École maternelle les Vergers,2 impasse des Vergers,104 à 106,Une série de panneaux devant l'école
"43.58943072399984,1.3779125580768294","{""coordinates"": [1.377912558076829, 43.58943072399984], ""type"": ""Point""}",Ecole élementaire Lardenne,20 chemin Rocamadour,138 à 140,"Une série de panneaux, place Sauvegrain"
"43.61514415725228,1.4221298883136493","{""coordinates"": [1.422129888313649, 43.61514415725228], ""type"": ""Point""}",École maternelle Ponts Jumeaux,18 rue Cécile Brunschvicg,165 à 166,"Une série de panneaux devant la grille, rue Daydé"
"43.61661345538978,1.4088679009929859","{""coordinates"": [1.408867900992986, 43.61661345538978], ""type"": ""Point""}",École élementaire des Sept deniers,110 route de Blagnac,171 à 174,Une série de panneaux devant l'école
"43.59535077006901,1.4782529378349358","{""coordinates"": [1.478252937834936, 43.59535077006901], ""type"": ""Point""}",École élementaire Jean Macé,1 chemin Duroux,229 à 232,Une série de panneaux devant l’école
"43.584854112421,1.4618013527252967","{""coordinates"": [1.461801352725297, 43.584854112421], ""type"": ""Point""}",Groupe scolaire Anatole France,21 boulevard de la Méditerranée,249 à 256,Une série de panneaux côté boulevard de la Méditerranée
"43.60062411404248,1.4675743031307407","{""coordinates"": [1.467574303130741, 43.60062411404248], ""type"": ""Point""}",École élementaire Jean Chaubet,112 avenue Camille Pujol,233 à 234,Une série de panneaux sur trottoir devant l’école
"43.57727941778825,1.4885933587142746","{""coordinates"": [1.488593358714275, 43.57727941778825], ""type"": ""Point""}",Ecole élementaire Henri Guillaumet,30 chemin Bitet,239 à 243,"Une série de panneaux sur grilles, chemin Bitet"
"43.61093201622873,1.441231631246448","{""coordinates"": [1.441231631246448, 43.61093201622873], ""type"": ""Point""}",École élementaire du Nord,13 boulevard d’Arcole,8 à 12,Une série de panneaux sur la façade de l'école
