Geo Point,Geo Shape,infobulle,nom,adresse,nb_jeux,id_aires_jeux,cloture
" 43.60089726975301,1.4349639184236198","{""coordinates"": [[[[1.43502507763134, 43.60079328253086], [1.434833703811146, 43.600949700289036], [1.43494073353839, 43.60099318162981], [1.435083232891232, 43.60082971031578], [1.43502507763134, 43.60079328253086]]]], ""type"": ""MultiPolygon""}",JARDIN VIGUERIE RUE CHARLES VIGUERIE 1 jeux,JARDIN VIGUERIE,RUE CHARLES VIGUERIE,1,188,NON
" 43.583733314887795,1.4697639912692821","{""coordinates"": [[[[1.469866242873765, 43.583707614574486], [1.4697728155248, 43.58379663510096], [1.469658663795369, 43.583736644038005], [1.469718677971345, 43.583686701494756], [1.469770151788452, 43.58371316591919], [1.469819004693499, 43.58367817248539], [1.469866242873765, 43.583707614574486]]]], ""type"": ""MultiPolygon""}",SAINT-EXUPERY 1 136 AV DE ST EXUPERY 1 jeux,SAINT-EXUPERY 1,136 AV DE ST EXUPERY,1,203,NON
" 43.59789599769883,1.4523093953397568","{""coordinates"": [[[[1.452234843568764, 43.59794731463383], [1.452381809396441, 43.59795293752977], [1.452385805128015, 43.597845160851975], [1.452235062803957, 43.59783948738599], [1.452234843568764, 43.59794731463383]]]], ""type"": ""MultiPolygon""}",VERDIER ALLEES FRANCOIS VERDIER 3 jeux,VERDIER,ALLEES FRANCOIS VERDIER,3,213,NON
" 43.60067166366974,1.4740938351206105","{""coordinates"": [[[[1.474175751169421, 43.60057949012601], [1.474193140285641, 43.6005929890643], [1.474142395237709, 43.600619983265226], [1.474146773510854, 43.60067576530633], [1.474070323587167, 43.60066561873928], [1.474074609246373, 43.6005982390774], [1.474105750540591, 43.60060471773668], [1.474105653556807, 43.60058728800094], [1.47410707551528, 43.60057252499362], [1.474138908506146, 43.600551330698615], [1.474175751169421, 43.60057949012601]]], [[[1.474114868101965, 43.6007826155403], [1.474030819207954, 43.60078754651329], [1.474031742629027, 43.60072731530593], [1.473985861950021, 43.600726709586496], [1.473992428990691, 43.60069344276008], [1.474043507112597, 43.600695251382724], [1.474042493668765, 43.60073579336995], [1.474115519521543, 43.60073524503057], [1.474114868101965, 43.6007826155403]]]], ""type"": ""MultiPolygon""}",ACHIARY 42 RUE HENRIETTE ACHIARY 4 jeux,ACHIARY,42 RUE HENRIETTE ACHIARY,4,205,NON
" 43.615256957729684,1.3983280586431932","{""coordinates"": [[[[1.398352343131283, 43.61534531007086], [1.398399607427639, 43.61517463106272], [1.398302757873701, 43.615167230747154], [1.398299470176531, 43.61525284308497], [1.39826400851947, 43.61525235179933], [1.398257785687005, 43.615330352447884], [1.398255692418531, 43.61533032344734], [1.398352343131283, 43.61534531007086]]]], ""type"": ""MultiPolygon""}",Arènes romaines 1 RUE DE PURPAN 6 jeux,Arènes romaines 1,RUE DE PURPAN,6,269,NON
" 43.569636547622004,1.4062590940912552","{""coordinates"": [[[[1.406053059732159, 43.569719171754876], [1.406080326319061, 43.56979308066128], [1.406229827432056, 43.56976859475948], [1.406205501993175, 43.569689676044], [1.406053059732159, 43.569719171754876]]], [[[1.406466391248637, 43.569403042247274], [1.406540062475812, 43.56943665660662], [1.406542141798544, 43.56943668528696], [1.406583210881509, 43.569381156954165], [1.406513612100609, 43.56935137985873], [1.406466391248637, 43.569403042247274]]]], ""type"": ""MultiPolygon""}",D'INDY CHEMINEMENT VINCENT D'INDY 5 jeux,D'INDY,CHEMINEMENT VINCENT D'INDY,5,57,NON
" 43.582195961069175,1.4057546475319882","{""coordinates"": [[[[1.405741760132116, 43.58224404684697], [1.405813374959458, 43.582137383050494], [1.405673832171969, 43.582089968151095], [1.405599986383635, 43.58220191255499], [1.405741760132116, 43.58224404684697]]], [[[1.405882703107524, 43.58231801132774], [1.405950914876954, 43.582341701652126], [1.405987880711389, 43.58228383941836], [1.40591343706982, 43.58225930693284], [1.405882703107524, 43.58231801132774]]]], ""type"": ""MultiPolygon""}",CHER PL DU PARTAGE 6 jeux,CHER,PL DU PARTAGE,6,222,GRILLAGE RIGIDE
" 43.56413764964386,1.4157610282026598","{""coordinates"": [[[[1.41566966357014, 43.56423145749197], [1.415691670852568, 43.5642469195907], [1.415718136399318, 43.56425182884351], [1.415749123909543, 43.564242774161364], [1.415773420222941, 43.564230602854714], [1.415784469758272, 43.564206492566264], [1.415779878742498, 43.56418254588451], [1.415760029268205, 43.56416407954195], [1.415729974265448, 43.56415723053772], [1.415698562940012, 43.56416210222653], [1.415667280647523, 43.564182523051024], [1.415660382136334, 43.56420744647464], [1.41566966357014, 43.56423145749197]]], [[[1.415838366126112, 43.56403779503397], [1.415810767741605, 43.563996851136125], [1.415754128548793, 43.564009722207295], [1.415788919644612, 43.56407501758606], [1.415902136491669, 43.56405117407176], [1.41588668384222, 43.56402404459048], [1.415838366126112, 43.56403779503397]]]], ""type"": ""MultiPolygon""}",GIRONIS 2 RUE DE GIRONIS 2 jeux,GIRONIS 2,RUE DE GIRONIS,2,187,NON
" 43.599655214980686,1.455159915014453","{""coordinates"": [[[[1.455115982776775, 43.599629040236344], [1.455122990088604, 43.599692339334496], [1.455200611413301, 43.59968589582752], [1.455197446532586, 43.599615158141276], [1.455115982776775, 43.599629040236344]]]], ""type"": ""MultiPolygon""}",HALLE AUX GRAINS PLACE DOMINIQUE MARTIN DUPUY 4 jeux,HALLE AUX GRAINS,PLACE DOMINIQUE MARTIN DUPUY,4,135,GRILLAGE RIGIDE
" 43.574217370489414,1.4184855785946275","{""coordinates"": [[[[1.418414372968715, 43.57431526881028], [1.418548060089385, 43.5742666848274], [1.418500913022467, 43.574194775710815], [1.418365134151858, 43.57424333100345], [1.418414372968715, 43.57431526881028]]], [[[1.418491859190784, 43.574119318891455], [1.418532036699114, 43.57417825004265], [1.418599387411287, 43.57415707980897], [1.418570365114817, 43.57408958695723], [1.418491859190784, 43.574119318891455]]]], ""type"": ""MultiPolygon""}",MERLETTES 2 ALL DE GUYENNE 2 jeux,MERLETTES 2,ALL DE GUYENNE,2,198,NON
