Geo Point,Geo Shape,infobulle,nom,adresse,nb_jeux,id_aires_jeux,cloture
" 43.57974444682395,1.4422970354185947","{""coordinates"": [[[[1.442211269585472, 43.57970640087547], [1.442275119436864, 43.5798150927924], [1.442381619222387, 43.57977906039274], [1.442322631916626, 43.57967683481567], [1.442211269585472, 43.57970640087547]]]], ""type"": ""MultiPolygon""}",JEAN MOULIN RUE DE VENISE 4 jeux,JEAN MOULIN,RUE DE VENISE,4,100,NON
" 43.58871125211371,1.483867097651474","{""coordinates"": [[[[1.483631873463001, 43.58856388462393], [1.483719569104226, 43.58893055651426], [1.48398241523234, 43.588926695035454], [1.484083000143625, 43.58867306880054], [1.484090586812546, 43.58851964274477], [1.483830243405514, 43.58852353728217], [1.483631873463001, 43.58856388462393]]]], ""type"": ""MultiPolygon""}",LIMAYRAC ALLÉE DE LIMAYRAC 7 jeux,LIMAYRAC,ALLÉE DE LIMAYRAC,7,103,
" 43.57344690244848,1.4875055778815902","{""coordinates"": [[[[1.487440759434399, 43.57350586928888], [1.487551002731721, 43.57352010487417], [1.487580695420966, 43.57338707857056], [1.487445063800791, 43.573382566273], [1.487440759434399, 43.57350586928888]]]], ""type"": ""MultiPolygon""}",PELLETRIE 2 PLACE ROBERT ESNAULT PELTERIE 1 jeux,PELLETRIE 2,PLACE ROBERT ESNAULT PELTERIE,1,109,
" 43.57126209112894,1.50281670329505","{""coordinates"": [[[[1.502681934658593, 43.57123073583797], [1.502716775848565, 43.5712448889473], [1.502725930458548, 43.571281566092125], [1.502679874176584, 43.571314781983645], [1.502663688712171, 43.571359340847785], [1.502701677882347, 43.57139912840991], [1.502768269260028, 43.571399991423505], [1.502804910496206, 43.57139223813378], [1.502824577565494, 43.571358689219075], [1.502849918048388, 43.57135078946756], [1.502898517591028, 43.57136787552742], [1.502962516852742, 43.5713714415507], [1.50302589287949, 43.571349414816275], [1.503055779602819, 43.57130959761964], [1.503058474978954, 43.571251153350175], [1.502995292200081, 43.57121377616963], [1.502943552966671, 43.57122224311479], [1.502910261688478, 43.571247396367646], [1.502833866105594, 43.57123635977042], [1.502786427026728, 43.57122295267217], [1.502795777255782, 43.57120114414609], [1.502827515062777, 43.571187844880015], [1.502753493450564, 43.57107997381446], [1.502653499253956, 43.57110882670912], [1.502610847508733, 43.5711567064992], [1.502620024547241, 43.57119246570656], [1.502648142175315, 43.571224815446115], [1.502681934658593, 43.57123073583797]]]], ""type"": ""MultiPolygon""}",MARCAISSONNE AVENUE DE LA MARCAISSONNE 13 jeux,MARCAISSONNE,AVENUE DE LA MARCAISSONNE,13,122,NON
" 43.633149408857875,1.4409345456431215","{""coordinates"": [[[[1.440998858802341, 43.63310379382613], [1.440932259819888, 43.63310107756961], [1.440870672972106, 43.63319711162321], [1.440936090580241, 43.63319707530067], [1.440998858802341, 43.63310379382613]]]], ""type"": ""MultiPolygon""}",PARCOURS DE SANTE CHEMIN MARGUERITE CANAL 8 jeux,PARCOURS DE SANTE,CHEMIN MARGUERITE CANAL,8,132,NON
" 43.5760415400147,1.482426747425973","{""coordinates"": [[[[1.482383188617334, 43.57593150035604], [1.482354005356879, 43.57604352054473], [1.482359081829174, 43.57614318937588], [1.48246556564125, 43.576157380371335], [1.482513481886601, 43.5759487497698], [1.482383188617334, 43.57593150035604]]]], ""type"": ""MultiPolygon""}",GUERRERO 2 IMP LAURENT GUERRERO 6 jeux,GUERRERO,2 IMP LAURENT GUERRERO,6,134,
" 43.63610512610713,1.4421285847250955","{""coordinates"": [[[[1.442157021890547, 43.636131275249014], [1.442164894269087, 43.63611858909313], [1.442166938725519, 43.636087549873686], [1.442148383652988, 43.63607541697502], [1.442119428309788, 43.636075945178455], [1.442096697499134, 43.63607929390415], [1.442087247116298, 43.63610475099402], [1.442100398656283, 43.63613142176437], [1.442139251766293, 43.63613742748542], [1.442157021890547, 43.636131275249014]]]], ""type"": ""MultiPolygon""}",ERNEST RENAN 2 IMPASSE VITRY 1 jeux,ERNEST RENAN 2,IMPASSE VITRY,1,139,NON
" 43.57690120106837,1.396894387055446","{""coordinates"": [[[[1.396901630876052, 43.57666958743656], [1.396936385995887, 43.57678246626185], [1.397057528192575, 43.57676405334385], [1.397018998595324, 43.57665202244379], [1.396901630876052, 43.57666958743656]]], [[[1.396750889859284, 43.577164534583], [1.396853089214566, 43.57716443123667], [1.396856252316754, 43.57704394024349], [1.39674676996861, 43.577043177315026], [1.396750889859284, 43.577164534583]]]], ""type"": ""MultiPolygon""}","CASTALIDES 71B, RUE ARISTIDE MAILLOL, TOULOUSE 7 jeux",CASTALIDES,"71B, RUE ARISTIDE MAILLOL, TOULOUSE",7,172,
" 43.623126604566544,1.4303151453489427","{""coordinates"": [[[[1.430162625989322, 43.6231850341215], [1.430383977411379, 43.62323555327262], [1.430446468621903, 43.62305547303019], [1.430275154125836, 43.62301567985483], [1.430162625989322, 43.6231850341215]]]], ""type"": ""MultiPolygon""}","HESSEL 1, PL STEPHANE HESSEL, TOULOUSE 6 jeux",HESSEL,"1, PL STEPHANE HESSEL, TOULOUSE",6,152,NON
" 43.64130189453545,1.4493105093658598","{""coordinates"": [[[[1.449258406277079, 43.6412671914364], [1.449307704478775, 43.641357406421804], [1.449337114244906, 43.64133860798047], [1.449351479667855, 43.64126843924579], [1.449258406277079, 43.6412671914364]]]], ""type"": ""MultiPolygon""}",JARDIN DE CHANTECLER 150 Rue Edmond Rostand 2 jeux,JARDIN DE CHANTECLER,150 Rue Edmond Rostand,2,154,NON
" 43.59237582635025,1.4166669482430412","{""coordinates"": [[[[1.416650669937994, 43.59228673550369], [1.416588749278219, 43.59244397903505], [1.416677509792363, 43.592463470050824], [1.416749223412783, 43.5923164163622], [1.416650669937994, 43.59228673550369]]]], ""type"": ""MultiPolygon""}",LE CRISTAL IMPASSE DES ARENES 3 jeux,LE CRISTAL,IMPASSE DES ARENES,3,157,
" 43.598171438127245,1.4346943014118152","{""coordinates"": [[[[1.43472480763964, 43.598086170227354], [1.434567853384575, 43.598175427785286], [1.434567619153977, 43.59818456203579], [1.434578820058301, 43.59818927794984], [1.434616478692778, 43.598191624473166], [1.434633981233947, 43.59819550748447], [1.434657352202251, 43.59821593533577], [1.434670843542569, 43.5982289104419], [1.434678851410647, 43.5982600861289], [1.434691209319589, 43.598268472669844], [1.434716346492692, 43.59826881309606], [1.434729032067378, 43.598264420681446], [1.434736830960399, 43.598254470632135], [1.434775981085917, 43.598100573872884], [1.434767470562065, 43.59808948471202], [1.434747524709373, 43.59808282290417], [1.43472480763964, 43.598086170227354]]]], ""type"": ""MultiPolygon""}",PLACE OLIVIER PLACE OLIVIER 5 jeux,PLACE OLIVIER,PLACE OLIVIER,5,160,NON
" 43.56959216014279,1.415781770908093","{""coordinates"": [[[[1.415865298445153, 43.56969003005723], [1.415791558302667, 43.56972283233296], [1.415636289642179, 43.56960373334866], [1.415711529116225, 43.56956181417913], [1.415865298445153, 43.56969003005723]]], [[[1.415920110339572, 43.569515331618966], [1.41587023346822, 43.56954845214893], [1.415768202689802, 43.56950867530045], [1.415775472918683, 43.56947039727224], [1.415835044592919, 43.56945111155374], [1.415920110339572, 43.569515331618966]]]], ""type"": ""MultiPolygon""}",BORDELONGUE RTE DE SEYSSES 4 jeux,BORDELONGUE,RTE DE SEYSSES,4,171,
" 43.622262237834555,1.4775015713899546","{""coordinates"": [[[[1.47738344343881, 43.62222702378628], [1.477383531976393, 43.62226568950639], [1.477428124303863, 43.6223185796173], [1.477490215946249, 43.62233911207593], [1.477572556833677, 43.622343220990075], [1.477600896975164, 43.622336770440164], [1.477630012120992, 43.62229925441049], [1.477614447780798, 43.62225356125223], [1.477566399934655, 43.622213507899176], [1.477531652089438, 43.622184243267206], [1.477469257919361, 43.62217584184301], [1.477404266313895, 43.62218711205188], [1.47738344343881, 43.62222702378628]]]], ""type"": ""MultiPolygon""}",ARGOULETS  TENNIS  4 jeux,ARGOULETS  TENNIS,,4,150,GRILLAGE RIGIDE
" 43.56445475957426,1.399789028637258","{""coordinates"": [[[[1.399709547418385, 43.56439471423392], [1.399706459917641, 43.56451256004373], [1.399868510013399, 43.56451480487884], [1.399871597201646, 43.564396959064815], [1.399709547418385, 43.56439471423392]]]], ""type"": ""MultiPolygon""}",JARDIN  LUTHER KING PLACE DE JERUSALEM 3 jeux,JARDIN  LUTHER KING,PLACE DE JERUSALEM,3,174,NON
" 43.63821287567429,1.4433369548751813","{""coordinates"": [[[[1.443281763659126, 43.63815494597464], [1.443291287048355, 43.63827477692164], [1.44339325896932, 43.638272494449225], [1.443380085174853, 43.638148041246424], [1.443281763659126, 43.63815494597464]]]], ""type"": ""MultiPolygon""}",MICOULAUD PLACE PLACE MICOULAUD 1 jeux,MICOULAUD PLACE,PLACE MICOULAUD,1,180,
" 43.61583804083372,1.4546229185847912","{""coordinates"": [[[[1.454556378101055, 43.61566228356087], [1.454508538502371, 43.61572146429886], [1.454539363337015, 43.6157817685827], [1.454777568740515, 43.61585242463055], [1.454859427119762, 43.61576410790517], [1.454556378101055, 43.61566228356087]]], [[[1.454731604237211, 43.61589578648693], [1.454509642073302, 43.615842775912256], [1.454405240806759, 43.61592781127986], [1.454551266543218, 43.61601239532024], [1.454729565959723, 43.615935180270405], [1.454728513108693, 43.615935166198554], [1.454731604237211, 43.61589578648693]]]], ""type"": ""MultiPolygon""}",MICHELET RUE SAINT LAURENT 7 jeux,MICHELET,RUE SAINT LAURENT,7,26,GRILLAGE RIGIDE
" 43.6540627613684,1.4386377585956622","{""coordinates"": [[[[1.438516811513262, 43.65403730368936], [1.438562055696795, 43.65413843285463], [1.438759674178653, 43.65408809496527], [1.43871192608328, 43.6539869320879], [1.438516811513262, 43.65403730368936]]]], ""type"": ""MultiPolygon""}",MOULIS ROUTE DE LAUNAGUET 4 jeux,MOULIS,ROUTE DE LAUNAGUET,4,201,NON
" 43.6116644026612,1.462474835991411","{""coordinates"": [[[[1.462483472756052, 43.61173537453329], [1.462518810837684, 43.61173036210777], [1.462538019215712, 43.611716916076915], [1.462562520110188, 43.61169256663745], [1.462577114287213, 43.611662603054924], [1.462569021271655, 43.611634174230964], [1.462545740023281, 43.61161010758147], [1.462508440200337, 43.6115931553483], [1.462450553094641, 43.61159422195095], [1.462402160546195, 43.611618244607115], [1.462376350258907, 43.61164440406297], [1.462375521823211, 43.61167728740641], [1.462393544339966, 43.61171042147106], [1.462424495757432, 43.61173002600293], [1.462464563160663, 43.61173695951334], [1.462506216278906, 43.61173111284495], [1.462483472756052, 43.61173537453329]]]], ""type"": ""MultiPolygon""}",OBSERVATOIRE 2 AVENUE CAMILLE FLAMMARION 3 jeux,OBSERVATOIRE 2,AVENUE CAMILLE FLAMMARION,3,202,NON
" 43.60666712290819,1.4497575800824798","{""coordinates"": [[[[1.449802858249986, 43.60667079752395], [1.449745962570448, 43.606633485070034], [1.449711274041289, 43.60666225943443], [1.449770637173029, 43.606701441469845], [1.449802858249986, 43.60667079752395]]]], ""type"": ""MultiPolygon""}",JEAN JAURES ALLEES JEAN JAURES 3 jeux,JEAN JAURES,ALLEES JEAN JAURES,3,210,NON
" 43.57278045806019,1.4016340109138885","{""coordinates"": [[[[1.401319105335454, 43.57271469471937], [1.401316709048378, 43.57282610394299], [1.401931587465775, 43.57285887255003], [1.401924704141546, 43.572720183329764], [1.401319105335454, 43.57271469471937]]]], ""type"": ""MultiPolygon""}",TABAR Rue Daniel Faucher 7 jeux,TABAR,Rue Daniel Faucher,7,85,
" 43.580422176973165,1.3966821437298018","{""coordinates"": [[[[1.396601700094733, 43.580423926352005], [1.396618292783151, 43.58046736869949], [1.396661719549454, 43.58048161912197], [1.396719166630142, 43.58047786997549], [1.396760715172579, 43.580444326927115], [1.396769854465716, 43.58041413324848], [1.396740579686386, 43.580377338865034], [1.39669196145552, 43.580362251220755], [1.396630203310166, 43.580371252017706], [1.39660239646008, 43.58039740558693], [1.396601700094733, 43.580423926352005]]]], ""type"": ""MultiPolygon""}",MAILLOL RESIDENCE RUE ARISTIDE MAILLOL 3 jeux,MAILLOL RESIDENCE,RUE ARISTIDE MAILLOL,3,71,GRILLAGE RIGIDE
" 43.58163201271627,1.3923192640841149","{""coordinates"": [[[[1.392223503060501, 43.58162233536631], [1.392245083996575, 43.58165447757978], [1.392302403894193, 43.58167536875391], [1.392376042140758, 43.58167146891799], [1.392396638430388, 43.58166151959918], [1.392416354530023, 43.58164549032903], [1.39240391752786, 43.581622576918775], [1.392377458704853, 43.58160261030478], [1.392316292779969, 43.58158622093332], [1.392250689942386, 43.58159536397466], [1.392223503060501, 43.58162233536631]]]], ""type"": ""MultiPolygon""}",VIOLLET LE DUC RUE JACQUES JEAN ESQUIE 4 jeux,VIOLLET LE DUC,RUE JACQUES JEAN ESQUIE,4,89,LISSE BOIS
" 43.61080405712232,1.4609868209616237","{""coordinates"": [[[[1.460943822198956, 43.61074315346232], [1.460924202613957, 43.61085888682651], [1.461027358067432, 43.61086480625016], [1.461052121937944, 43.61075141893222], [1.460943822198956, 43.61074315346232]]]], ""type"": ""MultiPolygon""}",VILLA MERICANT RUE CALVET 3 jeux,VILLA MERICANT,RUE CALVET,3,42,NON
" 43.561877062874906,1.3961926162120175","{""coordinates"": [[[[1.396179643821282, 43.56189944405391], [1.396156706105824, 43.56196867049902], [1.396199264028688, 43.56201550764762], [1.396262478207112, 43.56203003322954], [1.396333419427732, 43.562008646734206], [1.396367482154298, 43.561961748058344], [1.396340255697076, 43.561907165542415], [1.396258618922049, 43.56187949253119], [1.396179643821282, 43.56189944405391]]], [[[1.395982413971882, 43.561757768611606], [1.39606201881129, 43.561783135955714], [1.396135006733694, 43.56168332051542], [1.39603466915878, 43.56165311002306], [1.396015005091193, 43.561687712966254], [1.395982413971882, 43.561757768611606]]]], ""type"": ""MultiPolygon""}",CANDELIS PASSAGE ANDRE MAUROIS 9 jeux,CANDELIS,PASSAGE ANDRE MAUROIS,9,182,NON
" 43.601499446443604,1.3702422547190243","{""coordinates"": [[[[1.370116753917841, 43.60147922007138], [1.370144727670366, 43.601564526175714], [1.370417906485456, 43.60149218063364], [1.370370530281529, 43.601469150471395], [1.370310333441865, 43.601457687800696], [1.370233231291857, 43.60145395395532], [1.370115723811311, 43.601478827440594], [1.370116753917841, 43.60147922007138]]]], ""type"": ""MultiPolygon""}",GRIMAUD PLACE RAYMOND GRIMAUD 4 jeux,GRIMAUD,PLACE RAYMOND GRIMAUD,4,215,GRILLAGE RIGIDE
" 43.57610179903003,1.4379784314798818","{""coordinates"": [[[[1.437770434651083, 43.57610406304667], [1.437826523438931, 43.57619427877586], [1.43818327946462, 43.57610812305805], [1.438117097257395, 43.576004879551164], [1.437770434651083, 43.57610406304667]]]], ""type"": ""MultiPolygon""}",PARC  POUDRERIE IMPASSE DES HERONS 3 jeux,PARC  POUDRERIE,IMPASSE DES HERONS,3,181,NON
" 43.649516702076916,1.4489977339340954","{""coordinates"": [[[[1.448960080974069, 43.64943704816969], [1.448891616494055, 43.6495064913026], [1.449030332245995, 43.649594250072944], [1.449107468943858, 43.64953040545936], [1.448960080974069, 43.64943704816969]]]], ""type"": ""MultiPolygon""}",GRAND SELVE 1 Rue Flora Tristan 5 jeux,GRAND SELVE,1 Rue Flora Tristan,5,175,GRILLAGE RIGIDE
" 43.60490021275273,1.4123053602275164","{""coordinates"": [[[[1.412298473724683, 43.604838568174685], [1.41222181011631, 43.60493347185765], [1.412309122652074, 43.604961174224265], [1.412390706698476, 43.6048699930432], [1.412298473724683, 43.604838568174685]]]], ""type"": ""MultiPolygon""}",PRESSENSE AVENUE FRANCIS DE PRESSENSE 3 jeux,PRESSENSE,AVENUE FRANCIS DE PRESSENSE,3,126,GRILLAGE RIGIDE
" 43.60136473188324,1.4023186586490937","{""coordinates"": [[[[1.402278934334917, 43.60131392341258], [1.402256676168956, 43.60134741991411], [1.402250285419567, 43.60139942870774], [1.402317609035929, 43.601421370992576], [1.402369770277208, 43.60139833452448], [1.402384152474222, 43.601377512610526], [1.40239157832371, 43.60133375535183], [1.402340469029741, 43.60131660146376], [1.402278934334917, 43.60131392341258]]]], ""type"": ""MultiPolygon""}",BARRY VOIE DU TOEC 7 jeux,BARRY,VOIE DU TOEC,7,46,NON
" 43.57772462208468,1.4391039239775896","{""coordinates"": [[[[1.439160457969731, 43.577695189661846], [1.4391059154344, 43.57762622332395], [1.438748144570967, 43.57775178093368], [1.438819657590769, 43.57785054076806], [1.439064819009446, 43.577765160994524], [1.43910407602412, 43.577820273148426], [1.439473503083625, 43.577687282815475], [1.439419316346431, 43.57759711167956], [1.439160457969731, 43.577695189661846]]]], ""type"": ""MultiPolygon""}",CENTRE COMMERCIAL EMPALOT ALLEE HENRI SELLIER 6 jeux,CENTRE COMMERCIAL EMPALOT,ALLEE HENRI SELLIER,6,145,NON
" 43.623937364279485,1.4682441975259308","{""coordinates"": [[[[1.468267638007083, 43.62385416807781], [1.468128007325205, 43.62395466479385], [1.468218175400162, 43.62402073840618], [1.468361584467497, 43.62392029163143], [1.468267638007083, 43.62385416807781]]]], ""type"": ""MultiPolygon""}",ROSINE BET PLACE ROSINE BET 4 jeux,ROSINE BET,PLACE ROSINE BET,4,37,GRILLAGE RIGIDE
" 43.63949640962092,1.453414993353886","{""coordinates"": [[[[1.453212418746314, 43.63941031652366], [1.453207902466378, 43.639588436961944], [1.453513625816033, 43.63958887920663], [1.453717788971575, 43.63942712038338], [1.453212418746314, 43.63941031652366]]]], ""type"": ""MultiPolygon""}",BORDEROUGE RUE BERTRAN 8 jeux,BORDEROUGE,RUE BERTRAN,8,184,GRILLAGE RIGIDE
" 43.582496427794126,1.4087089027797663","{""coordinates"": [[[[1.408851092643801, 43.58266597248856], [1.408745080878331, 43.58269179919449], [1.408669584083091, 43.582547475890166], [1.408568833043926, 43.582331541000194], [1.408676062143579, 43.58229889833505], [1.408851092643801, 43.58266597248856]]]], ""type"": ""MultiPolygon""}",GRAND PARC BAGATELLE  7 jeux,GRAND PARC BAGATELLE,,7,214,GRILLAGE RIGIDE
" 43.56735211538269,1.410839842820666","{""coordinates"": [[[[1.410825881129196, 43.5673088424033], [1.410780321215341, 43.567313527143845], [1.410747104402057, 43.567328230444616], [1.410882139046314, 43.567411669012095], [1.410899617589064, 43.56739704626426], [1.410904606791779, 43.56736565104351], [1.410882579944351, 43.567330481235174], [1.410825881129196, 43.5673088424033]]]], ""type"": ""MultiPolygon""}",VENDOME RUE VENDOME 2 jeux,VENDOME,RUE VENDOME,2,86,NON
" 43.631416375019846,1.4636246999719507","{""coordinates"": [[[[1.463542032327065, 43.631284581768554], [1.463504146280471, 43.63153993954994], [1.463705022103465, 43.631556309611796], [1.463743344188064, 43.631283601286896], [1.463542032327065, 43.631284581768554]]]], ""type"": ""MultiPolygon""}",AVRANCHES RUE D AVRANCHES 6 jeux,AVRANCHES,RUE D AVRANCHES,6,7,NON
" 43.60475177175147,1.4448446067736944","{""coordinates"": [[[[1.444815901575691, 43.604626179215195], [1.444773844280064, 43.60484395626817], [1.444910821283057, 43.60483139533923], [1.444918545062372, 43.60473294157124], [1.444853117290396, 43.60472144759489], [1.444876463084778, 43.60462396019121], [1.444815901575691, 43.604626179215195]]]], ""type"": ""MultiPolygon""}",SQUARE DE GAULLE SQUARE DU GÉNÉRAL DE GAULLE 3 jeux,SQUARE DE GAULLE,SQUARE DU GÉNÉRAL DE GAULLE,3,128,NON
" 43.63508787649235,1.4889342386174207","{""coordinates"": [[[[1.48883863071256, 43.63505922078455], [1.488897749480241, 43.63516142056166], [1.489029641607365, 43.63511928522671], [1.488969372059341, 43.63501249738549], [1.48883863071256, 43.63505922078455]]]], ""type"": ""MultiPolygon""}",GRAMONT 21 HENRI JANSOU 4 jeux,GRAMONT,21 HENRI JANSOU,4,22,
" 43.64483826208398,1.4375140662967782","{""coordinates"": [[[[1.43758026109128, 43.644809067193634], [1.437450910080905, 43.644799100902134], [1.43744040338533, 43.644865665483515], [1.437584824859901, 43.644876753573485], [1.43758026109128, 43.644809067193634]]]], ""type"": ""MultiPolygon""}",IBOS RUE GUILLAUME IBOS 2 jeux,IBOS,RUE GUILLAUME IBOS,2,24,NON
" 43.60574126084443,1.4257599802093586","{""coordinates"": [[[[1.42584899906639, 43.60578783368214], [1.425863402175002, 43.60586296562768], [1.425928732101853, 43.6058656827234], [1.425924772940494, 43.60577516389758], [1.425885161049999, 43.60575086721476], [1.425925135168722, 43.60571211616059], [1.425742633836595, 43.60562099345388], [1.425624123653665, 43.605681522884105], [1.425617917626117, 43.605727125442414], [1.42561882957525, 43.60578927229348], [1.425579832367315, 43.60578965940152], [1.425571206514354, 43.605831574031725], [1.425698029550838, 43.60583878374752], [1.425704586927807, 43.605731042540675], [1.42584899906639, 43.60578783368214]]]], ""type"": ""MultiPolygon""}",BAZACLE 1 SQUARE MADY DE LA GIRAUDIERE 9 jeux,BAZACLE 1,SQUARE MADY DE LA GIRAUDIERE,9,11,NON
" 43.623061295716,1.457652080889564","{""coordinates"": [[[[1.457465506422191, 43.62303535712859], [1.457508543052188, 43.623107958326585], [1.4575563519769, 43.623115797888566], [1.457826096972457, 43.62309400044233], [1.45781790815843, 43.62301986564233], [1.457753488012703, 43.62303088942452], [1.457749243424398, 43.62299976601072], [1.457465506422191, 43.62303535712859]]]], ""type"": ""MultiPolygon""}",HAUTS DE BONNEFOY 16 RUE PONCHON 5 jeux,HAUTS DE BONNEFOY,16 RUE PONCHON,5,23,GRILLAGE RIGIDE
" 43.5601500997633,1.3955218222232963","{""coordinates"": [[[[1.395412523360595, 43.56019912239627], [1.395519609079396, 43.560236251178466], [1.395626241757441, 43.56009974068707], [1.395534264561326, 43.56006099434162], [1.395412523360595, 43.56019912239627]]]], ""type"": ""MultiPolygon""}",ZONE 16 RUE DU RECTEUR DOTTIN 4 jeux,ZONE 16,RUE DU RECTEUR DOTTIN,4,49,
" 43.606867062985806,1.4057591933690126","{""coordinates"": [[[[1.405720599556499, 43.606802286372414], [1.405665418338399, 43.6068929088612], [1.405793872692169, 43.6069339669853], [1.405854201027626, 43.60683885119428], [1.405720599556499, 43.606802286372414]]]], ""type"": ""MultiPolygon""}",CHARDONNETS RUE HILAIRE CHARDONNET 3 jeux,CHARDONNETS,RUE HILAIRE CHARDONNET,3,54,NON
" 43.58133681075251,1.38014373762874","{""coordinates"": [[[[1.380237743126689, 43.58142484510309], [1.380217958651104, 43.58127012899365], [1.380026280782504, 43.581293027099676], [1.38003351894756, 43.58135161815684], [1.380237743126689, 43.58142484510309]]]], ""type"": ""MultiPolygon""}",DUPOUY Rue du Professeur Gaston Dupouy 5 jeux,DUPOUY,Rue du Professeur Gaston Dupouy,5,59,
" 43.577845026103795,1.5030718673192653","{""coordinates"": [[[[1.499265240229333, 43.57645550832573], [1.499432625146697, 43.57643343005457], [1.499356530860985, 43.576305076803045], [1.499225250068733, 43.57638524784445], [1.499265240229333, 43.57645550832573]]], [[[1.499839496632783, 43.57800086920177], [1.499819193196511, 43.57793616695549], [1.499742622349356, 43.577954122652486], [1.499763866048494, 43.57802339229722], [1.499839496632783, 43.57800086920177]]], [[[1.500005924923543, 43.57950408593517], [1.500052755275571, 43.579507727644994], [1.500053983864887, 43.579457708705895], [1.500003835483187, 43.57946160387486], [1.500005924923543, 43.57950408593517]]], [[[1.500774517113245, 43.58069216703028], [1.500760932788641, 43.580650292058756], [1.500532796223458, 43.5806829629384], [1.500545458523159, 43.58071951460807], [1.500774517113245, 43.58069216703028]]], [[[1.503209313171962, 43.58040380827753], [1.503324355049349, 43.5803901385583], [1.503292472421525, 43.58032983321773], [1.503187711572279, 43.58034894744779], [1.503209313171962, 43.58040380827753]]], [[[1.505642021714323, 43.579091548041106], [1.505685778135214, 43.57907202978293], [1.505648253187374, 43.57904993893781], [1.505616621872445, 43.57906431163903], [1.505642021714323, 43.579091548041106]]], [[[1.507305465588247, 43.57823175049677], [1.507399209229083, 43.57819354040342], [1.507358199817311, 43.578122504552596], [1.507250808683881, 43.57816432826969], [1.507305465588247, 43.57823175049677]]], [[[1.507544483064831, 43.577497954014916], [1.5078164675484, 43.577547711754], [1.507841204654213, 43.57751694624244], [1.507779463062203, 43.57748355151013], [1.507575638301833, 43.57746044770867], [1.507544483064831, 43.577497954014916]]], [[[1.504990887848373, 43.57719201806872], [1.504998270864033, 43.5771458686971], [1.50489009881263, 43.5771346204733], [1.504879894016392, 43.57721105312835], [1.504990887848373, 43.57719201806872]]], [[[1.503323256404004, 43.576690550749134], [1.503407134666481, 43.576629467213266], [1.503328041608065, 43.57658068538645], [1.503246521743526, 43.576630420482836], [1.503323256404004, 43.576690550749134]]], [[[1.501658941801995, 43.57584301648633], [1.501633737470008, 43.57589272456351], [1.501712244713147, 43.57590170070713], [1.501727357191924, 43.57585906360878], [1.501658941801995, 43.57584301648633]]]], ""type"": ""MultiPolygon""}",RIBAUTE 2 CHEMIN RIBAUTE 11 jeux,RIBAUTE,2 CHEMIN RIBAUTE,11,241,NON
" 43.584772301582966,1.422472024450604","{""coordinates"": [[[[1.422400194656846, 43.58469479576629], [1.422396182201183, 43.584850096343004], [1.422544494394152, 43.58485121180456], [1.422546087711716, 43.58469222320766], [1.422400194656846, 43.58469479576629]]]], ""type"": ""MultiPolygon""}",FONTAINE LESTANG PARC FONTAINE LESTANG 5 jeux,FONTAINE LESTANG,PARC FONTAINE LESTANG,5,62,GRILLAGE RIGIDE
" 43.63600001496646,1.4617814350280933","{""coordinates"": [[[[1.461835827955804, 43.63604159204287], [1.461850380041168, 43.63596143185701], [1.461727261872489, 43.63595902920332], [1.461711725998, 43.636036907734116], [1.461710666128731, 43.636037649822825], [1.461835827955804, 43.63604159204287]]]], ""type"": ""MultiPolygon""}",RAMELET ESPACE DU RAMELET 1 jeux,RAMELET,ESPACE DU RAMELET,1,239,NON
" 43.580760382799006,1.4116635935971789","{""coordinates"": [[[[1.411597410658211, 43.58074806576363], [1.41164854380606, 43.580811822097566], [1.411730064600359, 43.580770910056536], [1.411678847629304, 43.58070989836536], [1.411597410658211, 43.58074806576363]]]], ""type"": ""MultiPolygon""}",LA MARTINIQUE RUE DE LA MARTINIQUE 3 jeux,LA MARTINIQUE,RUE DE LA MARTINIQUE,3,69,NON
" 43.57208449960023,1.4056106253712362","{""coordinates"": [[[[1.405634510236958, 43.57225695352976], [1.405374219668388, 43.572261589457455], [1.405347488940224, 43.57217805514212], [1.405601983399837, 43.57205820595316], [1.405743355411613, 43.572131429906285], [1.405741233164166, 43.572212729458535], [1.405634510236958, 43.57225695352976]]], [[[1.4061956709355, 43.571896420966816], [1.406103152957338, 43.57202217026421], [1.40604218366102, 43.57199848068131], [1.406072252981806, 43.57195412596746], [1.406062084531753, 43.57191011635763], [1.406106098909086, 43.57186137174237], [1.4061956709355, 43.571896420966816]]], [[[1.405242152630693, 43.57178365874384], [1.405145926164146, 43.57171470340201], [1.405208814578938, 43.57166440115428], [1.405302493104758, 43.571735148788754], [1.405242152630693, 43.57178365874384]]]], ""type"": ""MultiPolygon""}",MESSAGER CHEMINEMENT ANDRE MESSAGER 5 jeux,MESSAGER,CHEMINEMENT ANDRE MESSAGER,5,74,NON
" 43.5821091340179,1.4400667591093217","{""coordinates"": [[[[1.440100584194577, 43.582173552389264], [1.440118976183909, 43.58204403968467], [1.440042275224147, 43.582044831724204], [1.440005285525163, 43.582164046632855], [1.440100584194577, 43.582173552389264]]]], ""type"": ""MultiPolygon""}",EMPALOT MAIL RUE ANDRE DASTE 5 jeux,EMPALOT MAIL,RUE ANDRE DASTE,5,97,
