Geo Point,Geo Shape,no,suffixe,lib_voie,motdir,commune,insee,nb_places,annee_creation,coord_x,coord_y
"43.597553056334476,1.445939146243111","{""coordinates"": [[1.445939146243111, 43.597553056334476]], ""type"": ""MultiPoint""}",5,,RUE THEODORE OZENNE,OZENNE (RUE THEODORE OZENNE),TOULOUSE,31555,2,2007,1.445939,43.597553
"43.610500567421006,1.4348164159921315","{""coordinates"": [[1.434816415992131, 43.610500567421006]], ""type"": ""MultiPoint""}",8,,ESP COMPANS CAFFARELLI,CAFFARELLI (ESP COMPANS CAFFARELLI),TOULOUSE,31555,5,2014,1.434816,43.610501
"43.609204882979775,1.4465444916445278","{""coordinates"": [[1.446544491644528, 43.609204882979775]], ""type"": ""MultiPoint""}",12,,PL JEANNE D ARC,ARC (PL JEANNE D ARC),TOULOUSE,31555,3,2007,1.446544,43.609205
"43.61572794727685,1.4635966096576558","{""coordinates"": [[1.463596609657656, 43.61572794727685]], ""type"": ""MultiPoint""}",2,,METRO JOLIMONT,CASSOU (ESP JEAN CASSOU),TOULOUSE,31555,4,0,1.463597,43.615728
"43.55453256771313,1.5326660924707438","{""coordinates"": [[1.532666092470744, 43.55453256771313]], ""type"": ""MultiPoint""}",2,B,PL DE LA POSTE,POSTE (PL DE LA POSTE),SAINT-ORENS-DE-GAMEVILLE,31506,2,2013,1.532666,43.554533
"43.56004542153201,1.4961152603337746","{""coordinates"": [[1.496115260333775, 43.56004542153201]], ""type"": ""MultiPoint""}",30,,RUE DES COSMONAUTES,COSMONAUTES (RUE DES COSMONAUTES),TOULOUSE,31555,4,2013,1.496115,43.560045
"43.60317405510092,1.4481965717313234","{""coordinates"": [[1.448196571731323, 43.60317405510092]], ""type"": ""MultiPoint""}",16,,RUE PAUL VIDAL,VIDAL (RUE PAUL VIDAL),TOULOUSE,31555,2,2014,1.448197,43.603174
"43.555255855902004,1.426336874120356","{""coordinates"": [[1.426336874120356, 43.555255855902004]], ""type"": ""MultiPoint""}",1,,AV IRENE JOLIOT CURIE,CURIE (AV IRENE JOLIOT CURIE),TOULOUSE,31555,6,2014,1.426337,43.555256
"43.569518206474505,1.391985454753229","{""coordinates"": [[1.391985454753229, 43.569518206474505]], ""type"": ""MultiPoint""}",5,,METRO BASSO CAMBO,BOUILLIERE (PL EDOUARD BOUILLIERE),TOULOUSE,31555,4,0,1.391985,43.569518
"43.580872594299,1.4493566305460623","{""coordinates"": [[1.449356630546062, 43.580872594299]], ""type"": ""MultiPoint""}",56,,AV DE L URSS,URSS (AV DE L URSS),TOULOUSE,31555,3,2007,1.449357,43.580873
"43.58753763942145,1.435706783380438","{""coordinates"": [[1.435706783380438, 43.58753763942145]], ""type"": ""MultiPoint""}",,,PARC DES EXPOSITIONS,VALLEREY (ESP GEORGES VALLEREY),TOULOUSE,31555,6,2004,1.435707,43.587538
"43.61718299485758,1.2811482657582052","{""coordinates"": [[1.281148265758205, 43.61718299485758]], ""type"": ""MultiPoint""}",43,,RUE PRINCIPALE,PRINCIPALE (RUE PRINCIPALE),PIBRAC,31417,4,0,1.281148,43.617183
"43.611171901429046,1.371287265177855","{""coordinates"": [[1.371287265177855, 43.611171901429046]], ""type"": ""MultiPoint""}",0,,CHE DE LA CRABE,CRABE (CHE DE LA CRABE),TOULOUSE,31555,2,0,1.371287,43.611172
"43.6931107286077,1.4280763155244889","{""coordinates"": [[1.428076315524489, 43.6931107286077]], ""type"": ""MultiPoint""}",13,,RUE DES SPORTS,SPORTS (RUE DES SPORTS),CASTELGINEST,31116,1,0,0,0
"43.593367641635275,1.4187443677854816","{""coordinates"": [[1.418744367785482, 43.593367641635275]], ""type"": ""MultiPoint""}",4,,PL AGAPITO NADAL,NADAL (PL AGAPITO NADAL),TOULOUSE,31555,1,0,1.418744,43.593368
"43.58680373644709,1.4919294266696497","{""coordinates"": [[1.49192942666965, 43.58680373644709]], ""type"": ""MultiPoint""}",8,,CITE DE L'ESPACE,GONORD (AV JEAN GONORD),TOULOUSE,31555,3,0,1.492365,43.586893
"43.608165403180486,1.397042765641878","{""coordinates"": [[1.397042765641878, 43.608165403180486]], ""type"": ""MultiPoint""}",2,,RTE DE BAYONNE,BAYONNE (RTE DE BAYONNE),TOULOUSE,31555,6,1996,1.397043,43.608165
"43.57959739632068,1.480943872235953","{""coordinates"": [[1.480943872235953, 43.57959739632068]], ""type"": ""MultiPoint""}",,,ROND POINT HENRY POTEZ,POTEZ (RPT HENRY POTEZ),TOULOUSE,31555,4,2004,1.480939,43.579565
