Geo Point,Geo Shape,ins_nom,ins_complexe_nom_cplmt,ins_codepostal,secteur,quartier,acces_libre,ins_nb_equ,ins_detail_equ,ins_complexe_nom,ins_adresse,ins_commune,acces_public_horaires,acces_club_scol,ins_nom_cplmt,ins_id_install
"43.578746119167675,1.4079756198056779","{""coordinates"": [[1.407975619805678, 43.578746119167675]], ""type"": ""MultiPoint""}",STADE VINCENT SERRER,STADE VINCENT SERRER,31100,Toulouse Rive Gauche,2.3,,2,TERRAIN FOOTBALL A 11 SYNTHETIQUE/TERRAIN DE FOOTBALL A 8 SYNTHETIQUE,COMPLEXE SPORTIF BAGATELLE,,,oui,oui,,
"43.542403996027325,1.3913580077609013","{""coordinates"": [[1.391358007760901, 43.542403996027325]], ""type"": ""MultiPoint""}",STADE DE LA SAUDRUNE,STADE DE LA SAUDRUNE,31100,Toulouse Ouest,6.4,,2,"TERRAIN DE FOOTBALL HERBE, TERRAIN DE FOOTBALL A 7",STADE DE LA SAUDRUNE,CHEMIN DE LA SAUDRUNE,,,,,
"43.58132472601709,1.4312547799608368","{""coordinates"": [[1.431254779960837, 43.58132472601709]], ""type"": ""MultiPoint""}",TERRAIN DE RUGBY DANIEL FAUCHER,Stade Inter-universitaire Daniel FAUCHER,31400,Toulouse Sud Est,5.3,,6,1 TERRAIN RUGBY + 2 TERRAINS FOOT + 1 AIRE LANCE + PISTE D'ATHLETISME,,,,oui,oui,,
"43.577567001662494,1.3866299969059477","{""coordinates"": [[1.386629996905948, 43.577567001662494]], ""type"": ""MultiPoint""}",TERRAIN DE FOOTBALL HONNEUR DES PRADETTES,COMPLEXE SPORTIF DES PRADETTES,31100,Toulouse Ouest,6.2,,3,2 TERRAINS HERBE/1 SYNTHETIQUE,COMPLEXE SPORTIF DES PRADETTES,RUE FERDINAND DE LESSEPS,,,oui,,
"43.5993959993437,1.489247994039939","{""coordinates"": [[1.489247994039939, 43.5993959993437]], ""type"": ""MultiPoint""}",STADE ALAIN COULON,Complexe sportif de l'Hers,31500,Toulouse Est,4.3,non,4,TERRAIN DE RUGBY/TERRAIN FOOTBALL AMERICAIN/2  TERRAINS DE FOOTBALL DONT 1 STABILISE,COMPLEXE SPORTIF DE L'HERS,RUE CLAUDIUS ROUGENET,,oui,oui,,
"43.63596399431331,1.4554850012407117","{""coordinates"": [[1.455485001240712, 43.63596399431331]], ""type"": ""MultiPoint""}",STADE FERNAND SASTRE,STADE FERNAND SASTRE,31200,Toulouse Nord,3.3,,2,Terrain d'honneur / 1 SYNTHETIQUE,COMPLEXE SPORTIF BORDEROUGE,RUE MONLOUP,,oui,oui,,
"43.575277995591335,1.4663220059459894","{""coordinates"": [[1.466322005945989, 43.575277995591335]], ""type"": ""MultiPoint""}",TERRAIN DE FOOTBALL RANGUEIL,COMPLEXE SPORTIF RANGUEIL,31400,Toulouse Sud Est,5.2,,2,Terrain de Football à 5/TERRAIN DE FOOTBALL,COMPLEXE SPORTIF RANGUEIL,CHEMIN DU CANAL,,oui,oui,,
"43.57726299873396,1.4678169949385256","{""coordinates"": [[1.467816994938526, 43.57726299873396]], ""type"": ""MultiPoint""}",TERRAINS DE GRANDS JEUX STRUXIANO,STADE STRUXIANO,31400,Toulouse Sud Est,5.1,,3,Terrain de rugby à XIII / Terrain de football synthétique / Piste droite d'athlétisme 150,COMPLEXE SPORTIF STRUXIANO,AVENUE DE LESPINET,,oui,oui,,
"43.578280999378805,1.4695010004500235","{""coordinates"": [[1.469501000450024, 43.578280999378805]], ""type"": ""MultiPoint""}",TERRAIN DE RUGBY HERBETTES,TERRAIN HERBETTES,0,Toulouse Sud Est,5.1,,1,,COMPLEXE SPORTIF STRUXIANO,,,oui,oui,,
"43.572906002835445,1.3775800006267485","{""coordinates"": [[1.377580000626748, 43.572906002835445]], ""type"": ""MultiPoint""}",TERRAIN DE FOOTBALL HONNEUR PARC DE LA MOUNEDE,STADE DE LA MOUNEDE,31100,Toulouse Ouest,6.2,non,4,"2 TERRAINS FOOTBALL, 2 FOOT A 7 HERBE/STABILISE",PARC DE LA MOUNEDE,RUE PERROUD,,,,,
"43.57946699506002,1.4382289957829464","{""coordinates"": [[1.438228995782946, 43.57946699506002]], ""type"": ""MultiPoint""}",STADE PIERRE CORBARIEU,STADE PIERRE CORBARIEU,31400,Toulouse Sud Est,5.3,,1,SYNTHETIQUE,STADE PIERRE CORBARIEU,AVENUE DE LATTRE DE TASSIGNY,,oui,oui,,
"43.64164699598462,1.4409459995018565","{""coordinates"": [[1.440945999501857, 43.64164699598462]], ""type"": ""MultiPoint""}",STADE GEORGES RIGAL,,31200,Toulouse Nord,3.3,,1,Terrain de football,STADE GEORGES RIGAL,RUE RAPHAEL,,oui,oui,,
"43.56987200355455,1.3433480055819795","{""coordinates"": [[1.34334800558198, 43.56987200355455]], ""type"": ""MultiPoint""}",TERRAIN DE FOOTBALL LA RAMEE,,31170,,,,8,1 STABILISE / 1 SYNTHETIQUE / 4 HERBE/TERRAIN DE FOOTBALL A 7,BASE DE SPORTS ET DE LOISIRS DE LA RAMEE,CHEMIN DE LARRAMET,,,,,
"43.62806100166043,1.4411009975959628","{""coordinates"": [[1.441100997595963, 43.62806100166043]], ""type"": ""MultiPoint""}",STADE TOULOUSE LAUTREC,,31200,Toulouse Nord,3.1,,4,1 TERRAIN RUGBY/1 TERRAIN STABILISE/ 1 PETIT TERRAIN FOOT/1 PISTE ATHLETISME,COMPLEXE SPORTIF TOULOUSE LAUTREC,IMPASSE BARTHE,,oui,oui,,
