Geo Point,Geo Shape,id,adresse,lib_off,mot_dir,sens_circulation,commune,code_insee,debut_comptage
"43.61005924110846,1.4207762181876633","{""coordinates"": [[1.420776218187663, 43.61005924110846]], ""type"": ""MultiPoint""}",ETP18_BARCELONE_202002,150 allée de Barcelone,ALL DE BARCELONE,BARCELONE (ALL DE BARCELO,sens unique,Toulouse,31555,2/4/2020
"43.61489235423863,1.443958152312029","{""coordinates"": [[1.443958152312029, 43.61489235423863]], ""type"": ""MultiPoint""}",ETP21_MATABIAU_202204,34 boulevard Matabiau,BD MATABIAU,MATABIAU (BD MATABIAU),sens unique,Toulouse,31555,4/13/2022
"43.608510033901084,1.376425222972476","{""coordinates"": [[1.376425222972476, 43.608510033901084]], ""type"": ""MultiPoint""}",ETP26_BAYONNE_202002,213 route de Bayonne,RTE DE BAYONNE,BAYONNE (RTE DE BAYONNE),double sens,Toulouse,31555,2/9/2020
"43.60711537535331,1.3640977189348518","{""coordinates"": [[1.364097718934852, 43.60711537535331]], ""type"": ""MultiPoint""}",ETP27_CLOS_202002,Face au 148 rue Dominique Clos,RUE DOMINIQUE CLOS,CLOS (RUE DOMINIQUE CLOS),double sens,Toulouse,31555,2/11/2020
"43.63182656329333,1.4320953693301623","{""coordinates"": [[1.432095369330162, 43.63182656329333]], ""type"": ""MultiPoint""}",ETP32_UNIS_202002,88 avenue des Etats Unis,AV DES ETATS UNIS,UNIS (AV DES ETATS UNIS),double sens,Toulouse,31555,2/9/2020
"43.613395631159975,1.412241882697207","{""coordinates"": [[1.412241882697207, 43.613395631159975]], ""type"": ""MultiPoint""}",ETP36_BLAGNAC_202002,54 route de Blagnac,RTE DE BLAGNAC,BLAGNAC (RTE DE BLAGNAC),double sens,Toulouse,31555,2/10/2020
"43.62862983009301,1.4606425001593824","{""coordinates"": [[1.460642500159382, 43.62862983009301]], ""type"": ""MultiPoint""}",ETP39_ALBI_202003,21 route d’Albi,RTE D ALBI,ALBI (RTE D ALBI),double sens,Toulouse,31555,3/13/2020
"43.636744451841736,1.4742386412541693","{""coordinates"": [[1.474238641254169, 43.636744451841736]], ""type"": ""MultiPoint""}",ETP40_VASSEUR_202002,48 rue Vasseur,RUE ANDRE VASSEUR,VASSEUR (RUE ANDRE VASSEU,double sens,Toulouse,31555,2/10/2020
"43.56338084344312,1.405095852120889","{""coordinates"": [[1.405095852120889, 43.56338084344312]], ""type"": ""MultiPoint""}",ETP46_BELLEFONTAINE_20202,28 allée de Bellefontaine,ALL DE BELLEFONTAINE,BELLEFONTAINE (ALL DE BEL,double sens,Toulouse,31555,2/11/2020
"43.612502617395606,1.4585452367199707","{""coordinates"": [[1.458545236719971, 43.612502617395606]], ""type"": ""MultiPoint""}",ETP58_POMPIDOU_202003,Avenue Pompidou / rue du Libre Echange,AV GEORGES POMPIDOU,POMPIDOU (AV GEORGES POMP,double sens,Toulouse,31555,3/10/2020
"43.59965538469502,1.4565522259321149","{""coordinates"": [[1.456552225932115, 43.59965538469502]], ""type"": ""MultiPoint""}",ETP62_ETIENNE_202003,26 Port St Etienne,PORT SAINT ETIENNE,ETIENNE (PORT SAINT ETIEN,sens unique,Toulouse,31555,3/12/2020
