Geo Point,Geo Shape,cdparcadas,type_culture,surface,entretien,collectivite,insee
"43.64375550444465,1.4547133513055965","{""coordinates"": [[[[1.454283340784626, 43.64378288017285], [1.454437777751772, 43.643911810000894], [1.454668151643039, 43.64410377566285], [1.455163830551985, 43.64371025991138], [1.454726421831872, 43.64342207232256], [1.454705438675712, 43.64343137033852], [1.454320290089717, 43.643751000219126], [1.454283340784626, 43.64378288017285]]]], ""type"": ""MultiPolygon""}",3155531AX0220,ENTRETIEN,2688,RAVT,VT,31555
"43.644023410507984,1.4549293083017103","{""coordinates"": [[[[1.455163830551985, 43.64371025991138], [1.454668151643039, 43.64410377566285], [1.454713192053428, 43.644141970552795], [1.454814841129838, 43.644227913102725], [1.454830293515386, 43.64424033370023], [1.454885640155071, 43.64428617762322], [1.45493894859299, 43.64420522537747], [1.455008299116315, 43.64409696046381], [1.455079101503148, 43.64397829935809], [1.45512349436202, 43.643883087296466], [1.455177012230121, 43.64369995380075], [1.455163830551985, 43.64371025991138]]]], ""type"": ""MultiPolygon""}",3155531AX0226,ENTRETIEN,936,RAVT,VT,31555
"43.6440253174277,1.4809164180605359","{""coordinates"": [[[[1.480790665779301, 43.644110810802985], [1.480688669004109, 43.64409801141878], [1.480582613016125, 43.644080263256825], [1.480426397915985, 43.643996826363086], [1.480533557985475, 43.644109239538615], [1.480620831273601, 43.64413797930881], [1.480670814290127, 43.64413863583935], [1.480756634920925, 43.6441455712333], [1.480831145526651, 43.64412476644891], [1.480873311328286, 43.64411805909433], [1.480986060982989, 43.64408758937973], [1.481183162353112, 43.64396237952474], [1.481210448188498, 43.643847553548106], [1.481138637723804, 43.64388190984928], [1.481132101156827, 43.643883752277866], [1.481096687816298, 43.6439005155687], [1.481056045471736, 43.643918184216055], [1.481033720141061, 43.64393031580846], [1.4810126155761, 43.64394813297888], [1.480978231995117, 43.6439838250648], [1.480942546963004, 43.64401950905134], [1.480934619737438, 43.644027017160674], [1.480860255291691, 43.64410328434719], [1.480790665779301, 43.644110810802985]]]], ""type"": ""MultiPolygon""}",3155532AB0011,JACHERE,426,RAVT,VT,31555
"43.6400108431487,1.4787705311777872","{""coordinates"": [[[[1.478069111469609, 43.640158395540595], [1.479046692649276, 43.64031529283388], [1.479058589412063, 43.64030308210322], [1.47907572975735, 43.64028902106113], [1.479096803809771, 43.64027309608223], [1.479124399207109, 43.64025627381335], [1.479142789861362, 43.64024600650882], [1.479166370767089, 43.64023672386674], [1.47920568015759, 43.64022093601365], [1.479256784257986, 43.64020050867305], [1.47929609355689, 43.640184722588856], [1.479400814804635, 43.64014956140389], [1.479450542971157, 43.64013385462748], [1.479488565816882, 43.64011711174098], [1.479513477746887, 43.640105945270214], [1.479533184494346, 43.64009474097645], [1.479740773645274, 43.63997237023958], [1.479751273302614, 43.63996677206753], [1.478158239247506, 43.63967844578812], [1.478069111469609, 43.640158395540595]]]], ""type"": ""MultiPolygon""}",3155532AB0030,BIO,5499,RAVT,VT,31555
"43.64176792662364,1.4808296894679451","{""coordinates"": [[[[1.480379034595844, 43.641977300975164], [1.48084533205441, 43.64189378094762], [1.48131187574674, 43.64180554515998], [1.481460983768902, 43.641777280802096], [1.481343384058294, 43.641533605932835], [1.480391992941775, 43.64170964634291], [1.480192283423489, 43.641918175155574], [1.480148370476929, 43.641982179605634], [1.480212145161614, 43.641986447398246], [1.480379034595844, 43.641977300975164]]]], ""type"": ""MultiPolygon""}",3155532AB0083,BIO,2171,RAVT,VT,31555
"43.6414187591312,1.4809031434105242","{""coordinates"": [[[[1.480457162021053, 43.641616471401356], [1.481308251373872, 43.641458988512355], [1.481198181644795, 43.64123146135959], [1.480658000942518, 43.641329422169726], [1.480457162021053, 43.641616471401356]]]], ""type"": ""MultiPolygon""}",3155532AB0087,BIO,1175,RAVT,VT,31555
"43.64634477403131,1.488139370709611","{""coordinates"": [[[[1.487554111062459, 43.646335208647045], [1.487755365758677, 43.646374732353955], [1.487982765974293, 43.64637892924615], [1.488166487800254, 43.64637765948761], [1.488401143895493, 43.64636114468086], [1.488610954140364, 43.64632717373383], [1.488742664940214, 43.646316657069484], [1.488862689320843, 43.64630148472862], [1.488827486785405, 43.646303115146125], [1.487980247647634, 43.646328939941924], [1.487554111062459, 43.646335208647045]]]], ""type"": ""MultiPolygon""}",3155532AD0012,BIO,404,RAVT,VT,31555
"43.64549213950628,1.4892631986553464","{""coordinates"": [[[[1.489052052996763, 43.64443430875057], [1.48917761758998, 43.64649152819769], [1.489477041284686, 43.646617066166485], [1.489338949560612, 43.644415640630605], [1.489052052996763, 43.64443430875057]]]], ""type"": ""MultiPolygon""}",3155532AD0018,BIO,5522,RAVT,VT,31555
"43.645420951091815,1.4889633753361944","{""coordinates"": [[[[1.488749341717751, 43.64446610529781], [1.48875782085029, 43.64460335630382], [1.488816005538528, 43.64555180634183], [1.488862689320843, 43.64630148472862], [1.4889171986353, 43.6463118110674], [1.489045772499565, 43.64641531896762], [1.48917761758998, 43.64649152819769], [1.489052052996763, 43.64443430875057], [1.488750643094624, 43.64446611509851], [1.488749341717751, 43.64446610529781]]]], ""type"": ""MultiPolygon""}",3155532AD0019,BIO,5281,RAVT,VT,31555
"43.64679994011011,1.4858999847967633","{""coordinates"": [[[[1.485132226748264, 43.64659614250597], [1.485251861000693, 43.646817244039866], [1.485348802735184, 43.646884612438406], [1.485478166387895, 43.646949130271445], [1.485593587368839, 43.647031030371785], [1.485739573417481, 43.647108679964425], [1.485875792915775, 43.64712147984954], [1.48598636393496, 43.647098140630426], [1.486186804639372, 43.64701562537514], [1.486443640554302, 43.646912532452546], [1.486607997380821, 43.6468632572963], [1.486591393477825, 43.64660142029955], [1.485329232415473, 43.64657680749162], [1.485339405730475, 43.64659486033757], [1.485132226748264, 43.64659614250597]]]], ""type"": ""MultiPolygon""}",3155532AD0002,BIO,5037,RAVT,VT,31555
"43.64503014926216,1.487828315620944","{""coordinates"": [[[[1.486852016586104, 43.64449257565699], [1.486904838605956, 43.64554127485869], [1.486907005435675, 43.64557251358249], [1.487390450503167, 43.64556667625724], [1.487942947801027, 43.64556135607039], [1.488780818214082, 43.64555248991511], [1.488816005538528, 43.64555180634183], [1.48875782085029, 43.64460335630382], [1.488749341717751, 43.64446610529781], [1.488665806961446, 43.644476833687314], [1.488652704591576, 43.644482413055606], [1.488610783515108, 43.64449818257624], [1.488593753590305, 43.644504677448595], [1.486852016586104, 43.64449257565699]]]], ""type"": ""MultiPolygon""}",3155532AD0020,BIO,18150,RAVT,VT,31555
"43.643773559427586,1.486966985813548","{""coordinates"": [[[[1.485211449275615, 43.643967538104796], [1.485262515349746, 43.643967205798305], [1.486862701911835, 43.64392503190569], [1.486888566823989, 43.64392442862783], [1.48695784100097, 43.64392292582103], [1.486982246975392, 43.6439223682539], [1.488421975680143, 43.64388445458019], [1.48855312309109, 43.64388035474906], [1.488532729053298, 43.64353303807917], [1.48830545669893, 43.64355282187727], [1.488233355824112, 43.6435724656482], [1.488131637932292, 43.64358305501677], [1.48798666883693, 43.64359307713655], [1.487829951463636, 43.64359536209254], [1.487592458049187, 43.64360634181941], [1.487390318503043, 43.64360532442916], [1.487004259866683, 43.64362086142875], [1.486760164348156, 43.6436268775365], [1.486628815900042, 43.643628952620325], [1.486351588732137, 43.64363747448358], [1.486025343934271, 43.64365854945075], [1.485765209059422, 43.64367203955224], [1.485571035759121, 43.643683576827776], [1.48543875420063, 43.643701557726075], [1.485356233981315, 43.64374553109929], [1.485312681197526, 43.64378156888586], [1.485288236406516, 43.6438291203517], [1.485263511979512, 43.643887931624434], [1.485227364646344, 43.643938143897124], [1.485211449275615, 43.643967538104796]]]], ""type"": ""MultiPolygon""}",3155532AD0022,BIO,8701,RAVT,VT,31555
"43.64619348821662,1.4921778347907202","{""coordinates"": [[[[1.4909860208114, 43.645960663925074], [1.491163974209354, 43.647562830573214], [1.491220118278006, 43.64752537049981], [1.491299099307642, 43.64747961842948], [1.49135402520707, 43.64742965287166], [1.491415849595054, 43.64737198142232], [1.491470911202314, 43.647316169806025], [1.49160251349741, 43.647204828377525], [1.491701287213299, 43.64711839791075], [1.491793041645171, 43.647044547219025], [1.491891116234284, 43.64698637231534], [1.492008462427884, 43.646908957182006], [1.492152664211299, 43.64683091616738], [1.49235253077117, 43.64671261385685], [1.492489324612584, 43.6466228325438], [1.49265468998451, 43.646448578452734], [1.492784784906419, 43.64636576716082], [1.492876831900945, 43.64634565305512], [1.492991673738908, 43.646293635283165], [1.493130060502722, 43.64627277976017], [1.493141811302474, 43.64627097577352], [1.493241856787374, 43.646290643290804], [1.49333580139393, 43.646308925951125], [1.493534555376262, 43.64627626764941], [1.49363564159413, 43.6462636361924], [1.493301298584125, 43.64512640871742], [1.4909860208114, 43.645960663925074]]]], ""type"": ""MultiPolygon""}",3155532AE0001,BIO,27710,RAVT,VT,31555
"43.57815397242287,1.5043268819322662","{""coordinates"": [[[[1.5034109034268, 43.57776076011391], [1.503993328845649, 43.57911137588739], [1.505344836803884, 43.57841172603249], [1.505186265351428, 43.57811631811848], [1.504434648255951, 43.57723381912857], [1.504236693402796, 43.57733635511733], [1.5034109034268, 43.57776076011391]]]], ""type"": ""MultiPolygon""}",3155536AL0014,BIO,17781,RAVT,VT,31555
"43.57054548619246,1.5134799471562035","{""coordinates"": [[[[1.511871980506325, 43.5705433307659], [1.512568457516628, 43.57173964308654], [1.51293525946868, 43.57163953114132], [1.513075448269451, 43.571594721486754], [1.51353113829704, 43.57129338852768], [1.513345742164272, 43.571019926947386], [1.514768719189938, 43.57053035614798], [1.515314406606692, 43.570117082483065], [1.515212270458458, 43.56969058668379], [1.513546333950577, 43.56981187938134], [1.513140754777812, 43.569971658448495], [1.513113263673161, 43.56998375844792], [1.513064809172818, 43.57000611234567], [1.512658908535166, 43.5701885948687], [1.512266127159826, 43.57036360375726], [1.51200165959087, 43.57048088652535], [1.511937491544133, 43.5705106949454], [1.511908671435147, 43.5705246752341], [1.511871980506325, 43.5705433307659]]]], ""type"": ""MultiPolygon""}",3155536AN0051,BIO,31830,RAVT,VT,31555
