Geo Point,Geo Shape,infobulle,nom,num_station,nb_bornettes,en_service,rue,mot_directeur,no,nrivoli,commune,code_insee,locations_2016
" 43.605135773487454,1.4422810293369153","{""coordinates"": [[1.442281029336915, 43.605135773487454]], ""type"": ""MultiPoint""}",6 - LOIS Nombre bornettes : 20 adresse : 5 RUE DES LOIS En service : oui,LOIS,6,20,oui,RUE DES LOIS,LOIS (RUE DES LOIS),5,3105555304,Toulouse,31555,4839
" 43.60904852048446,1.442693508344861","{""coordinates"": [[1.442693508344861, 43.60904852048446]], ""type"": ""MultiPoint""}",56 - SAINT SERNIN  -  MERLY Nombre bornettes : 14 adresse : 1 RUE MERLY En service : oui,SAINT SERNIN  -  MERLY,56,14,oui,RUE MERLY,MERLY (RUE MERLY),1,3105555896,Toulouse,31555,11912
" 43.60349485874521,1.4360829406224067","{""coordinates"": [[1.436082940622407, 43.60349485874521]], ""type"": ""MultiPoint""}",28 - PLACE SAINT PIERRE Nombre bornettes : 22 adresse : 6 PL SAINT PIERRE En service : oui,PLACE SAINT PIERRE,28,22,oui,PL SAINT PIERRE,PIERRE (PL SAINT PIERRE),6,3105557948,Toulouse,31555,36588
" 43.59741756005313,1.4452779308115777","{""coordinates"": [[1.445277930811578, 43.59741756005313]], ""type"": ""MultiPoint""}",46 - PLACE DES CARMES Nombre bornettes : 20 adresse : 37 PL DES CARMES En service : oui,PLACE DES CARMES,46,20,oui,PL DES CARMES,CARMES (PL DES CARMES),37,3105551708,Toulouse,31555,46808
" 43.604602776358384,1.4404250849182774","{""coordinates"": [[1.440425084918277, 43.604602776358384]], ""type"": ""MultiPoint""}",12 - PARGAMINIERES Nombre bornettes : 23 adresse : 66 RUE PARGAMINIERES En service : oui,PARGAMINIERES,12,23,oui,RUE PARGAMINIERES,PARGAMINIERES (RUE PARGAMINIERES),66,3105556540,Toulouse,31555,37858
" 43.60037317706388,1.4449026899518553","{""coordinates"": [[1.444902689951855, 43.60037317706388]], ""type"": ""MultiPoint""}",10 - PLACE ESQUIROL Nombre bornettes : 18 adresse : 15 PL ETIENNE ESQUIROL En service : oui,PLACE ESQUIROL,10,18,oui,PL ETIENNE ESQUIROL,ESQUIROL (PL ETIENNE ESQUIROL),15,3105553084,Toulouse,31555,102470
" 43.60785838772488,1.4466662429130326","{""coordinates"": [[1.446666242913033, 43.60785838772488]], ""type"": ""MultiPoint""}",16 - STRASBOURG  -  BAYARD Nombre bornettes : 21 adresse : 32 BD DE STRASBOURG En service : oui,STRASBOURG  -  BAYARD,16,21,oui,BD DE STRASBOURG,STRASBOURG (BD DE STRASBOURG),32,3105558328,Toulouse,31555,36251
" 43.60104747901702,1.434133556962294","{""coordinates"": [[1.434133556962294, 43.60104747901702]], ""type"": ""MultiPoint""}",79 - PLACE LANGE Nombre bornettes : 19 adresse : 1 PL LANGE En service : oui,PLACE LANGE,79,19,oui,PL LANGE,LANGE (PL LANGE),1,3105554996,Toulouse,31555,8763
" 43.59631475822683,1.4321437395445664","{""coordinates"": [[1.432143739544566, 43.59631475822683]], ""type"": ""MultiPoint""}",73 - FITTE - TEINTURIERS Nombre bornettes : 17 adresse : 40 ALL CHARLES DE FITTE En service : oui,FITTE - TEINTURIERS,73,17,oui,ALL CHARLES DE FITTE,FITTE (ALL CHARLES DE FITTE),40,3105551920,Toulouse,31555,18408
" 43.59430625305807,1.4488220949578958","{""coordinates"": [[1.448822094957896, 43.59430625305807]], ""type"": ""MultiPoint""}",67 - MUSEUM Nombre bornettes : 28 adresse : 35 ALL JULES GUESDE En service : oui,MUSEUM,67,28,oui,ALL JULES GUESDE,GUESDE (ALL JULES GUESDE),35,3105554812,Toulouse,31555,25392
