Geo Point,Geo Shape,infobulle,site,annee_installation,zone_emission,disponibilite,adresse,commune
" 43.59773055374661,1.4313333366620296","{""coordinates"": [[1.43133333666203, 43.59773055374661]], ""type"": ""MultiPoint""}",Site Saint-Cyprien Adresse : PL INTERIEURE SAINT CYPRIEN Année installation : 2015 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Saint-Cyprien,2015,extérieur,24h/24h (avec garantie de service),PL INTERIEURE SAINT CYPRIEN,TOULOUSE
" 43.60050099748338,1.4456539927188097","{""coordinates"": [[1.44565399271881, 43.60050099748338]], ""type"": ""MultiPoint""}",Site Esquirol/Rue de Metz Adresse : 30 RUE DE METZ Année installation : 2016 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Esquirol/Rue de Metz,2016,extérieur,24h/24h (avec garantie de service),30 RUE DE METZ,TOULOUSE
" 43.61126944162825,1.438763892493415","{""coordinates"": [[1.438763892493415, 43.61126944162825]], ""type"": ""MultiPoint""}",Site Arnaud Bernard Adresse : place arnaud Bernard Année installation : 2016 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Arnaud Bernard,2016,extérieur,24h/24h (avec garantie de service),place arnaud Bernard,TOULOUSE
" 43.56735832832568,1.4006000038890507","{""coordinates"": [[1.400600003889051, 43.56735832832568]], ""type"": ""MultiPoint""}",Site Bibliothèque Grand M Adresse : 37 av Reynerie Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Bibliothèque Grand M,2016,intérieur bâtiment,24h/24h (sans garantie de service),37 av Reynerie,TOULOUSE
" 43.60036110826673,1.4438166669575652","{""coordinates"": [[1.443816666957565, 43.60036110826673]], ""type"": ""MultiPoint""}",Site Esquirol 2 Adresse : 1 place Esquirol Année installation : 2016 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Esquirol 2,2016,extérieur,24h/24h (avec garantie de service),1 place Esquirol,TOULOUSE
" 43.57974444294124,1.4416750033365398","{""coordinates"": [[1.44167500333654, 43.57974444294124]], ""type"": ""MultiPoint""}",Site Empalot Adresse : 19 rue de Cannes Année installation : 2016 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Empalot,2016,extérieur,24h/24h (avec garantie de service),19 rue de Cannes,TOULOUSE
" 43.57058055561597,1.4026750010406583","{""coordinates"": [[1.402675001040658, 43.57058055561597]], ""type"": ""MultiPoint""}",Site Mairie Reynerie Adresse : Place André ABBAL Année installation : 2015 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Mairie Reynerie,2015,intérieur bâtiment,24h/24h (sans garantie de service),Place André ABBAL,TOULOUSE
" 43.611211111122664,1.4560416689623363","{""coordinates"": [[1.456041668962336, 43.611211111122664]], ""type"": ""MultiPoint""}",Site Toulouse Métropole - Marengo Adresse : 6 Rue René Leduc Année installation : 2014 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Toulouse Métropole - Marengo,2014,intérieur bâtiment,24h/24h (sans garantie de service),6 Rue René Leduc,TOULOUSE
" 43.636422218227885,1.4629499948615652","{""coordinates"": [[1.462949994861565, 43.636422218227885]], ""type"": ""MultiPoint""}",Site Restaurant Senior Croix Daurade Adresse : 5 rue Francis Lopez Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Restaurant Senior Croix Daurade,2016,intérieur bâtiment,24h/24h (sans garantie de service),5 rue Francis Lopez,TOULOUSE
" 43.604824993718104,1.4442249988899039","{""coordinates"": [[1.444224998889904, 43.604824993718104]], ""type"": ""MultiPoint""}",Site Hotel de Ville - Capitole Adresse : place du Capitole Année installation : 2014 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Hotel de Ville - Capitole,2014,intérieur bâtiment,24h/24h (sans garantie de service),place du Capitole,TOULOUSE
" 43.583544441267584,1.4835916659693846","{""coordinates"": [[1.483591665969385, 43.583544441267584]], ""type"": ""MultiPoint""}",Site Restaurant Senior La Terasse Adresse : 15 Impasse Franz SCHRADER Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Restaurant Senior La Terasse,2016,intérieur bâtiment,24h/24h (sans garantie de service),15 Impasse Franz SCHRADER,TOULOUSE
" 43.59768500023695,1.445489000870145","{""coordinates"": [[1.445489000870145, 43.59768500023695]], ""type"": ""MultiPoint""}",Site Carmes Adresse : 1 rue Théodore Ozenne Année installation : 2017 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Carmes,2017,extérieur,24h/24h (avec garantie de service),1 rue Théodore Ozenne,TOULOUSE
" 43.595947993345675,1.4345219992015825","{""coordinates"": [[1.434521999201583, 43.595947993345675]], ""type"": ""MultiPoint""}",Site Restaurant Senior St Cyprien Adresse : 5 rue des Feuillants Année installation : 2017 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Restaurant Senior St Cyprien,2017,intérieur bâtiment,24h/24h (sans garantie de service),5 rue des Feuillants,TOULOUSE
" 43.6015569968166,1.438360995526907","{""coordinates"": [[1.438360995526907, 43.6015569968166]], ""type"": ""MultiPoint""}",Site Daurade 2 Adresse : Promenade Henri Martin Année installation : 2017 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Daurade 2,2017,extérieur,24h/24h (avec garantie de service),Promenade Henri Martin,TOULOUSE
" 43.6063139940724,1.4386059979825536","{""coordinates"": [[1.438605997982554, 43.6063139940724]], ""type"": ""MultiPoint""}",Site Place Anatole France Adresse : Place Anatole France Année installation : 2017 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Place Anatole France,2017,extérieur,24h/24h (avec garantie de service),Place Anatole France,TOULOUSE
" 43.60081999845426,1.4292780010582495","{""coordinates"": [[1.42927800105825, 43.60081999845426]], ""type"": ""MultiPoint""}",Site Musée des abbatoirs Adresse : 76 allées Charles de Fitte Année installation : 2018 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Musée des abbatoirs,2018,intérieur bâtiment,24h/24h (sans garantie de service),76 allées Charles de Fitte,TOULOUSE
" 43.57747899687579,1.4441799965265958","{""coordinates"": [[1.444179996526596, 43.57747899687579]], ""type"": ""MultiPoint""}",Site Maison des Associations Adresse : 81 rue St Roch Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Maison des Associations,2016,intérieur bâtiment,24h/24h (sans garantie de service),81 rue St Roch,TOULOUSE
" 43.584643996431325,1.4276520002544315","{""coordinates"": [[1.427652000254432, 43.584643996431325]], ""type"": ""MultiPoint""}",Site Mairie Croix de Pierre Adresse : 125 avenue de Muret Année installation : 2018 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Mairie Croix de Pierre,2018,intérieur bâtiment,24h/24h (sans garantie de service),125 avenue de Muret,TOULOUSE
" 43.58408599507735,1.4345269983261344","{""coordinates"": [[1.434526998326134, 43.58408599507735]], ""type"": ""MultiPoint""}",Site Stadium Adresse : 1 allée Gabriel Biénès  Année installation : 2019 Zone émission : intérieur et extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Stadium,2019,intérieur et extérieur,24h/24h (sans garantie de service),1 allée Gabriel Biénès,TOULOUSE
" 43.604050992943705,1.4479599978641606","{""coordinates"": [[1.447959997864161, 43.604050992943705]], ""type"": ""MultiPoint""}",Site MDC Centre - Mériel Adresse : 5 Rue Paul Meriel Année installation : 2019 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),MDC Centre - Mériel,2019,intérieur bâtiment,24h/24h (sans garantie de service),5 Rue Paul Meriel,TOULOUSE
" 43.58015499907727,1.411953000565256","{""coordinates"": [[1.411953000565256, 43.58015499907727]], ""type"": ""MultiPoint""}",Site bibliothèque St Exupery Adresse : 37 rue du Lot Année installation : 2019 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),bibliothèque St Exupery,2019,intérieur bâtiment,24h/24h (sans garantie de service),37 rue du Lot,TOULOUSE
" 43.60362221632961,1.4352166666397461","{""coordinates"": [[1.435216666639746, 43.60362221632961]], ""type"": ""MultiPoint""}",Site Saint-Pierre 1 Adresse : PL SAINT PIERRE Année installation : 2015 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Saint-Pierre 1,2015,extérieur,24h/24h (avec garantie de service),PL SAINT PIERRE,TOULOUSE
" 43.60326388892532,1.4361222219518675","{""coordinates"": [[1.436122221951867, 43.60326388892532]], ""type"": ""MultiPoint""}",Site Saint-Pierre 3 Adresse : PL SAINT PIERRE Année installation : 2015 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Saint-Pierre 3,2015,extérieur,24h/24h (avec garantie de service),PL SAINT PIERRE,TOULOUSE
" 43.592984000461094,1.4351470010732557","{""coordinates"": [[1.435147001073256, 43.592984000461094]], ""type"": ""MultiPoint""}",Site Cours Dillon 1 Adresse : cours dillon Année installation : 2016 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Cours Dillon 1,2016,extérieur,24h/24h (avec garantie de service),cours dillon,TOULOUSE
" 43.59266666760555,1.4442416730567758","{""coordinates"": [[1.444241673056776, 43.59266666760555]], ""type"": ""MultiPoint""}",Site Lafourcade Adresse : allée Paul Feuga Année installation : 2016 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Lafourcade,2016,extérieur,24h/24h (avec garantie de service),allée Paul Feuga,TOULOUSE
" 43.59383610641005,1.4492972175018144","{""coordinates"": [[1.449297217501814, 43.59383610641005]], ""type"": ""MultiPoint""}",Site Museum Adresse :  35 allées Jules Guesdes Année installation : 2015 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Museum,2015,intérieur bâtiment,24h/24h (sans garantie de service),35 allées Jules Guesdes,TOULOUSE
" 43.60774166739363,1.4438722246525604","{""coordinates"": [[1.44387222465256, 43.60774166739363]], ""type"": ""MultiPoint""}",Site Bibliothèque Perigord Adresse : 18 rue du Périgord Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Bibliothèque Perigord,2016,intérieur bâtiment,24h/24h (sans garantie de service),18 rue du Périgord,TOULOUSE
" 43.60103610749383,1.446324996986625","{""coordinates"": [[1.446324996986625, 43.60103610749383]], ""type"": ""MultiPoint""}",Site Musée des Augustins Adresse : 21 rue de Metz Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Musée des Augustins,2016,intérieur bâtiment,24h/24h (sans garantie de service),21 rue de Metz,TOULOUSE
" 43.5970055549471,1.4432583221136812","{""coordinates"": [[1.443258322113681, 43.5970055549471]], ""type"": ""MultiPoint""}",Site Bibliothèque Fabre Adresse : 6 rue St Jean Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Bibliothèque Fabre,2016,intérieur bâtiment,24h/24h (sans garantie de service),6 rue St Jean,TOULOUSE
