Geo Point,Geo Shape,infobulle,site,annee_installation,zone_emission,disponibilite,adresse,commune
" 43.5788388912895,1.4418361097697863","{""coordinates"": [[1.441836109769786, 43.5788388912895]], ""type"": ""MultiPoint""}",Site Médiathèque Empalot Adresse : 40 Avenue Jean Moulin Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Médiathèque Empalot,2016,intérieur bâtiment,24h/24h (sans garantie de service),40 Avenue Jean Moulin,TOULOUSE
" 43.62002777371453,1.4701055618823964","{""coordinates"": [[1.470105561882396, 43.62002777371453]], ""type"": ""MultiPoint""}",Site MDC Roseraie Adresse : 8 bis avenue du parc Année installation : 2015 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),MDC Roseraie,2015,intérieur bâtiment,24h/24h (sans garantie de service),8 bis avenue du parc,TOULOUSE
" 43.581102782651726,1.387650005044321","{""coordinates"": [[1.387650005044321, 43.581102782651726]], ""type"": ""MultiPoint""}",Site Mairie Pradettes Adresse : 2 Passage Julien FORGUES Année installation : 2015 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Mairie Pradettes,2015,intérieur bâtiment,24h/24h (sans garantie de service),2 Passage Julien FORGUES,TOULOUSE
" 43.602097217575206,1.4660805627608944","{""coordinates"": [[1.466080562760894, 43.602097217575206]], ""type"": ""MultiPoint""}",Site Restaurant Social Providence Bonhoure Adresse : place Pinel Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Restaurant Social Providence Bonhoure,2016,intérieur bâtiment,24h/24h (sans garantie de service),place Pinel,TOULOUSE
" 43.60590799570928,1.448896996733263","{""coordinates"": [[1.448896996733263, 43.60590799570928]], ""type"": ""MultiPoint""}","Site Jaurès 2 Adresse :   Allée du Pdt F, Roosevelt Année installation : 2017 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service)",Jaurès 2,2017,extérieur,24h/24h (avec garantie de service),"Allée du Pdt F, Roosevelt",TOULOUSE
" 43.61238700089019,1.4353019979537258","{""coordinates"": [[1.435301997953726, 43.61238700089019]], ""type"": ""MultiPoint""}",Site Palais des sports Adresse : Rue du canon d'Arcole Année installation : 2017 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Palais des sports,2017,intérieur bâtiment,24h/24h (sans garantie de service),Rue du canon d'Arcole,TOULOUSE
" 43.601084001630056,1.4390340045743262","{""coordinates"": [[1.439034004574326, 43.601084001630056]], ""type"": ""MultiPoint""}",Site Daurade 3 Adresse : Promenade Henri Martin Année installation : 2017 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Daurade 3,2017,extérieur,24h/24h (avec garantie de service),Promenade Henri Martin,TOULOUSE
" 43.59960199919327,1.4296190016097372","{""coordinates"": [[1.429619001609737, 43.59960199919327]], ""type"": ""MultiPoint""}",Site Jardin Raymond VI Adresse : allées Charles de Fitte Année installation : 2017 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Jardin Raymond VI,2017,extérieur,24h/24h (avec garantie de service),allées Charles de Fitte,TOULOUSE
" 43.59691899924205,1.4468920044221356","{""coordinates"": [[1.446892004422136, 43.59691899924205]], ""type"": ""MultiPoint""}",Site Musée Paul Dupuy Adresse : 13 rue de la Pleau Année installation : 2018 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Musée Paul Dupuy,2018,intérieur bâtiment,24h/24h (sans garantie de service),13 rue de la Pleau,TOULOUSE
" 43.582611000549406,1.3888159954106725","{""coordinates"": [[1.388815995410672, 43.582611000549406]], ""type"": ""MultiPoint""}",Site Accueil Jeunes Bordeblanche Adresse : rue Yves Rouquette  Année installation : 2018 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Accueil Jeunes Bordeblanche,2018,intérieur bâtiment,24h/24h (sans garantie de service),rue Yves Rouquette,TOULOUSE
