Geo Point,Geo Shape,numero,type,accessibilité,ADRESSE,insee
"43.59237781099002,1.4511164404935897","{""coordinates"": [[1.45111644049359, 43.59237781099002]], ""type"": ""MultiPoint""}",957,Sanitaire standard,Non accessible aux personnes à mobilité réduite,Allée des Justes des Nations Toulouse,31555
"43.60206975306357,1.4433283952025566","{""coordinates"": [[1.443328395202557, 43.60206975306357]], ""type"": ""MultiPoint""}",4766,Vespasienne,Non accessible aux personnes à mobilité réduite,Rue Bedelières Toulouse,31555
"43.61023475635265,1.3290599582309826","{""coordinates"": [[1.329059958230983, 43.61023475635265]], ""type"": ""MultiPoint""}",958,Sanitaire standard,Non accessible aux personnes à mobilité réduite,Boulevard du Général de Gaulle Colomiers,31149
"43.61326959698605,1.4353683566693145","{""coordinates"": [[1.435368356669315, 43.61326959698605]], ""type"": ""MultiPoint""}",950,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,40 Rue du Canon d'Arcole Toulouse,31555
"43.651700165241955,1.4382583148044596","{""coordinates"": [[1.43825831480446, 43.651700165241955]], ""type"": ""MultiPoint""}",7350,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,0272 Route de Launaguet Toulouse,31555
"43.570743611846076,1.4038554250870952","{""coordinates"": [[1.403855425087095, 43.570743611846076]], ""type"": ""MultiPoint""}",953,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,Cheminement Christophe Gluck Toulouse,31555
"43.6363499705783,1.4638955301150622","{""coordinates"": [[1.463895530115062, 43.6363499705783]], ""type"": ""MultiPoint""}",929,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,1 Rue Francis Lopez Toulouse,31555
"43.58178220711657,1.3887234979730165","{""coordinates"": [[1.388723497973017, 43.58178220711657]], ""type"": ""MultiPoint""}",944,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,0020 Place des Pradettes Toulouse,31555
"43.55740862785274,1.3806799799423413","{""coordinates"": [[1.380679979942341, 43.55740862785274]], ""type"": ""MultiPoint""}",940,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,1 Rue du Cimetière Saint Simon Toulouse,31555
"43.59155993023773,1.4184434173682223","{""coordinates"": [[1.418443417368222, 43.59155993023773]], ""type"": ""MultiPoint""}",893,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,4 Place Emile Male Toulouse,31555
