Geo Point,Opérateur de Mobilité,Aménageur,id_borne,nom_borne,numero_rue,libelle_voie,commune,code_postal,code_insee,marque_borne,modele_borne,type_chargement,date_mise_en_service,id_prise,puissance_prise,connecteur_disponible_prise,longitude,latitude,geolocalisation,numero_prise
"43.66585899363238,1.5042575581896123",Révéo,Toulouse Metropole,STATION-FR-M31-P31488-001,ST JEAN - Rue Des Roses,,Rue Des Roses,Saint-Jean,31240,31488,CAHORS,City 2,normal,,FR*M31*E31488*001*1,22,"EF,T2,T3",1.504258,43.665841,"43.665841,1.504258",1
"43.55286099993067,1.5336290077151238",Révéo,Toulouse Metropole,STATION-FR-M31-P31506-002,SAINT ORENS - Rue Des Sports,,Rue Des Sports,Saint-Orens-de-Gameville,31650,31506,CAHORS,City 2,normal,,FR*M31*E31506*002*1,22,"EF,T2,T3",1.533629,43.552861,"43.552861,1.533629",1
"43.552878999122846,1.5336285757008221",Révéo,Toulouse Metropole,STATION-FR-M31-P31506-002,SAINT ORENS - Rue Des Sports,,Rue Des Sports,Saint-Orens-de-Gameville,31650,31506,CAHORS,City 2,normal,,FR*M31*E31506*002*2,22,"EF,T2,T3",1.533629,43.552861,"43.552861,1.533629",2
"43.610121964325366,1.4564243527330472",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-001,TOULOUSE - Marengo,2,Boulevard De Marengo,Toulouse,31500,31555,CAHORS,City 2,normal,,FR*M31*E31555*001*1,4,EF,1.456444,43.610111,"43.610111,1.456444",1
"43.610094640659575,1.4564336668308524",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-001,TOULOUSE - Marengo,2,Boulevard De Marengo,Toulouse,31500,31555,EVTRONIC,QUICK CHARGER EVTRONIC,rapide,,FR*M31*E31555*001*3,36,T2,1.456444,43.610111,"43.610111,1.456444",3
"43.597295996151786,1.444805548662965",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-006,TOULOUSE - Carmes,42,Place Des Carmes,Toulouse,31000,31555,CAHORS,City 2,normal,,FR*M31*E31555*006*1,22,"EF,T2,T3",1.444806,43.597278,"43.597278,1.444806",1
"43.59727799758211,1.4448060071762354",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-006,TOULOUSE - Carmes,42,Place Des Carmes,Toulouse,31000,31555,CAHORS,City 2,normal,,FR*M31*E31555*006*2,22,"EF,T2,T3",1.444806,43.597278,"43.597278,1.444806",2
"43.564421918444786,1.4896696889200771",Révéo,Toulouse Metropole,STATION-FR-M31-E31555-007,TOULOUSE - Caroline Aigle,,Caroline Aigle,Toulouse,31400,31555,EVTRONIC,QUICK CHARGER EVTRONIC,rapide,,FR*M31*E31555*007*2,36,CHADEMO,1.489650607,43.56441044,"43.5644104437,1.4896506071",2
"43.56442844197598,1.4896501650881306",Révéo,Toulouse Metropole,STATION-FR-M31-E31555-007,TOULOUSE - Caroline Aigle,,Caroline Aigle,Toulouse,31400,31555,EVTRONIC,QUICK CHARGER EVTRONIC,rapide,,FR*M31*E31555*007*5,43,T2,1.489650607,43.56441044,"43.5644104437,1.4896506071",5
"43.586930993733134,1.492327559901904",Révéo,Toulouse Metropole,STATION-FR-M31-E31555-008,TOULOUSE - Cité de l'espace,,Avenue Jean Gonord,Toulouse,31500,31555,LAFON,PULSE 22 GL,normal,,FR*M31*E31555*008*1,22,"T2,EF",1.492328,43.586913,"43.586913,1.492328",1
"43.606872005379955,1.4509529957065885",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-010,TOULOUSE  - Jean Jaures,50,Jean Jaures,Toulouse,31000,31555,CAHORS,City 2,normal,,FR*M31*E31555*010*4,22,"EF,T2,T3",1.450953,43.606872,"43.606872,1.450953",4
"43.5813830004744,1.3877310019745361",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-011,TOULOUSE  - Place Des Pradettes,,Place Des Pradettes,Toulouse,31100,31555,CAHORS,City 2,normal,,FR*M31*E31555*011*1,22,"EF,T2,T3",1.387731,43.581383,"43.581383,1.387731",1
"43.58140099891507,1.3877305267597557",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-011,TOULOUSE  - Place Des Pradettes,,Place Des Pradettes,Toulouse,31100,31555,CAHORS,City 2,normal,,FR*M31*E31555*011*2,22,"EF,T2,T3",1.387731,43.581383,"43.581383,1.387731",2
"43.582237999738254,1.4142785288140358",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-012,TOULOUSE - Rue Henri Desbals,,Rue Henri Desbals,Toulouse,31100,31555,CAHORS,City 2,normal,,FR*M31*E31555*012*1,22,"EF,T2,T3",1.414279,43.58222,"43.58222,1.414279",1
"43.60928200216691,1.4318969969499062",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-013,TOULOUSE - Angle Bld Lascrosse / Bld Maréchal Leclerc,,Angle Bld Lascrosse / Bld Maréchal Leclerc,Toulouse,31000,31555,CAHORS,City 2,normal,,FR*M31*E31555*013*2,22,"EF,T2,T3",1.431897,43.609282,"43.609282,1.431897",2
"43.573744998993426,1.4240440018937008",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-022,TOULOUSE - Route D'Espagne,80,Route D'Espagne,Toulouse,31100,31555,CAHORS,City 2,normal,,FR*M31*E31555*022*1,22,"EF,T2,T3",1.424044,43.573745,"43.573745,1.424044",1
