Geo Point,Opérateur de Mobilité,Aménageur,id_borne,nom_borne,numero_rue,libelle_voie,commune,code_postal,code_insee,marque_borne,modele_borne,type_chargement,date_mise_en_service,id_prise,puissance_prise,connecteur_disponible_prise,longitude,latitude,geolocalisation,numero_prise
"43.61139399705401,1.3352649997338295",Révéo,Toulouse Metropole,STATION-FR-M31-P31149-001,COLOMIERS - Rue De Limogne,15,Rue De Limogne,Colomiers,31770,31149,CAHORS,City 2,normal,,FR*M31*E31149*001*2,22,"EF,T2,T3",1.335265,43.611394,"43.611394,1.335265",2
"43.537608994095976,1.3448120089833842",Révéo,Toulouse Metropole,STATION-FR-M31-P31157-001,CUGNAUX - Av De Toulouse,6,Av De Toulouse,Cugnaux,31270,31157,CAHORS,City 2,normal,,FR*M31*E31157*001*2,22,"EF,T2,T3",1.344812,43.537609,"43.537609,1.344812",2
"43.59684299723324,1.6003695838783283",Révéo,Toulouse Metropole,STATION-FR-M31-P31163-001,DREMIL-LAFAGE - Allee De LEglise,,Allee De LEglise,Drémil-Lafage,31280,31163,CAHORS,City 2,normal,,FR*M31*E31163*001*1,22,"EF,T2,T3",1.60037,43.596825,"43.596825,1.60037",1
"43.67878299642069,1.3920959965161146",Révéo,Toulouse Metropole,STATION-FR-M31-P31182-001,"FENOUILLET - Jean Jaures, Place De La Mairie",,"Jean Jaures, Place De La Mairie",Fenouillet,31150,31182,CAHORS,City 2,normal,,FR*M31*E31182*001*2,22,"EF,T2,T3",1.392096,43.678783,"43.678783,1.392096",2
"43.59465599566132,1.562639999609195",Révéo,Toulouse Metropole,STATION-FR-M31-P31184-001,FLOURENS - Rue Du College,,Rue Du College,Flourens,31130,31184,CAHORS,City 2,normal,,FR*M31*E31184*001*1,22,"EF,T2,T3",1.56264,43.594656,"43.594656,1.56264",1
"43.67409099844823,1.4558379956951126",Révéo,Toulouse Metropole,STATION-FR-M31-P31282-001,LAUNAGUET - Av. Des Nobles,17,Av. Des Nobles,Launaguet,31140,31282,CAHORS,City 2,normal,,FR*M31*E31282*001*2,22,"EF,T2,T3",1.455838,43.674091,"43.674091,1.455838",2
"43.71174999707618,1.3934310092892848",Révéo,Toulouse Metropole,STATION-FR-M31-P31293-001,LESPINASSE - Route De L'Hers,,Route De L'Hers,Lespinasse,31150,31293,CAHORS,City 2,normal,,FR*M31*E31293*001*1,22,"EF,T2,T3",1.393431,43.71175,"43.71175,1.393431",1
"43.693494000862145,1.4131559982340216",Révéo,Toulouse Metropole,STATION-FR-M31-P31467-001,SAINT ALBAN - Rue Des Lilas,,Rue Des Lilas,Saint-Alban,31140,31467,CAHORS,City 2,normal,,FR*M31*E31467*001*1,22,"EF,T2,T3",1.413156,43.693494,"43.693494,1.413156",1
"43.61010667356841,1.4564199447056327",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-001,TOULOUSE - Marengo,2,Boulevard De Marengo,Toulouse,31500,31555,CAHORS,City 2,normal,,FR*M31*E31555*001*2,4,T3,1.456444,43.610111,"43.610111,1.456444",2
"43.61012248143142,1.4564630815905302",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-001,TOULOUSE - Marengo,2,Boulevard De Marengo,Toulouse,31500,31555,CAHORS,City 2,normal,,FR*M31*E31555*001*6,4,T3,1.456444,43.610111,"43.610111,1.456444",6
"43.601993995787474,1.4514155521341652",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-005,TOULOUSE - François Verdier,23,Boulevard Lazare Carnot,Toulouse,31000,31555,CAHORS,City 2,normal,,FR*M31*E31555*005*1,22,"EF,T2,T3",1.451416,43.601976,"43.601976,1.451416",1
"43.6019759972219,1.451416008733984",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-005,TOULOUSE - François Verdier,23,Boulevard Lazare Carnot,Toulouse,31000,31555,CAHORS,City 2,normal,,FR*M31*E31555*005*2,22,"EF,T2,T3",1.451416,43.601976,"43.601976,1.451416",2
"43.609300000607554,1.431896534540236",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-013,TOULOUSE - Angle Bld Lascrosse / Bld Maréchal Leclerc,,Angle Bld Lascrosse / Bld Maréchal Leclerc,Toulouse,31000,31555,CAHORS,City 2,normal,,FR*M31*E31555*013*1,22,"EF,T2,T3",1.431897,43.609282,"43.609282,1.431897",1
"43.60108299605214,1.4263765301660882",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-015,TOULOUSE - Rue Des Bourrassols,18,Rue Des Bourrassols,Toulouse,31300,31555,CAHORS,City 2,normal,,FR*M31*E31555*015*1,22,"EF,T2,T3",1.426377,43.601065,"43.601065,1.426377",1
"43.6362949997726,1.4621895447486433",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-016,TOULOUSE - Rue Serge Gainsbourg,,Rue Serge Gainsbourg,Toulouse,31200,31555,CAHORS,City 2,normal,,FR*M31*E31555*016*2,22,"EF,T2,T3",1.46219,43.636277,"43.636277,1.46219",2
"43.6060789983847,1.4383835365076625",Révéo,Toulouse Metropole,STATION-FR-M31-P31555-018,TOULOUSE - Place Anatole France,44,Place Anatole France,Toulouse,31000,31555,CAHORS,City 2,normal,,FR*M31*E31555*018*1,22,"EF,T2,T3",1.438384,43.606061,"43.606061,1.438384",1
"43.65581000233805,1.4814135531966635",Révéo,Toulouse Metropole,STATION-FR-M31-P31561-001,L'UNION - Rue Du Somport Parking Grande Halle,,Rue Du Somport Parking Grande Halle,L'Union,31240,31561,CAHORS,City 2,normal,,FR*M31*E31561*001*2,22,"EF,T2,T3",1.481414,43.655792,"43.655792,1.481414",2
"43.52509799742819,1.3429605115668428",Révéo,Toulouse Metropole,STATION-FR-M31-P31588-001,VILLENEUVE TOLOSANE - Rene Cassin,,Rene Cassin,Villeneuve-Tolosane,31270,31588,CAHORS,City 2,normal,,FR*M31*E31588*001*2,22,"EF,T2,T3",1.342961,43.52508,"43.52508,1.342961",2
"43.60938299653697,1.4975119960197207",Révéo,Toulouse Metropole,STATION-FR-M31-P31044-001,BALMA - Place Du 12 Mars 1962,,Place Du 12 Mars 1962,Balma,31130,31044,CAHORS,City 2,normal,,FR*M31*E31044*001*2,22,"EF,T2,T3",1.497512,43.609383,"43.609383,1.497512",2
"43.65570099743091,1.3713045166287638",Révéo,Toulouse Metropole,STATION-FR-M31-P31069-001,BLAGNAC - Av. D'Andromède,24,Av. D'Andromède,Blagnac,31700,31069,CAHORS,City 2,normal,,FR*M31*E31069*001*1,22,"EF,T2,T3",1.371305,43.655683,"43.655683,1.371305",1
"43.7274359947029,1.4113305268218643",Révéo,Toulouse Metropole,STATION-FR-M31-P31091-001,BRUGUIERES - Place De La Republique,,Place De La Republique,Bruguières,31150,31091,CAHORS,City 2,normal,,FR*M31*E31091*001*1,22,"EF,T2,T3",1.411331,43.727418,"43.727418,1.411331",1
"43.59682499807445,1.6003699965285436",Révéo,Toulouse Metropole,STATION-FR-M31-P31163-001,DREMIL-LAFAGE - Allee De LEglise,,Allee De LEglise,Drémil-Lafage,31280,31163,CAHORS,City 2,normal,,FR*M31*E31163*001*2,22,"EF,T2,T3",1.60037,43.596825,"43.596825,1.60037",2
"43.67880099423522,1.3920955218306836",Révéo,Toulouse Metropole,STATION-FR-M31-P31182-001,"FENOUILLET - Jean Jaures, Place De La Mairie",,"Jean Jaures, Place De La Mairie",Fenouillet,31150,31182,CAHORS,City 2,normal,,FR*M31*E31182*001*1,22,"EF,T2,T3",1.392096,43.678783,"43.678783,1.392096",1
"43.59467399469751,1.5626395758512437",Révéo,Toulouse Metropole,STATION-FR-M31-P31184-001,FLOURENS - Rue Du College,,Rue Du College,Flourens,31130,31184,CAHORS,City 2,normal,,FR*M31*E31184*001*2,22,"EF,T2,T3",1.56264,43.594656,"43.594656,1.56264",2
"43.604698995473036,1.2830199943863698",Révéo,Toulouse Metropole,STATION-FR-M31-P31417-001,PIBRAC - Aire de covoiturage,22,Avenue de Toulouse,Pibrac,31820,31417,EVTRONIC,QUICK CHARGER EVTRONIC,rapide,,FR*M31*E31417*001*1,43,T2,1.28302,43.604699,"43.604699,1.28302",1
"43.60471699331971,1.2830194881189985",Révéo,Toulouse Metropole,STATION-FR-M31-P31417-001,PIBRAC - Aire de covoiturage,22,Avenue de Toulouse,Pibrac,31820,31417,EVTRONIC,QUICK CHARGER EVTRONIC,rapide,,FR*M31*E31417*001*4,4,EF,1.28302,43.604699,"43.604699,1.28302",4
"43.693511998660625,1.4131555296521225",Révéo,Toulouse Metropole,STATION-FR-M31-P31467-001,SAINT ALBAN - Rue Des Lilas,,Rue Des Lilas,Saint-Alban,31140,31467,CAHORS,City 2,normal,,FR*M31*E31467*001*2,22,"EF,T2,T3",1.413156,43.693494,"43.693494,1.413156",2
