Geo Point,Geo Shape,nom,type,adresse,code postal,jours_de_tenue,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche
"43.60873336275236,1.450021524769816","{""coordinates"": [[1.450021524769816, 43.60873336275236]], ""type"": ""MultiPoint""}",ÉTOILE DE BELFORT,Alimentaire,Place de Belfort,31000,le jeudi,,,,16h00 – 21h00,,,
"43.56493299939855,1.3982359959981157","{""coordinates"": [[1.398235995998116, 43.56493299939855]], ""type"": ""MultiPoint""}",BELLEFONTAINE,Alimentaire et forain,Passage de Jérusalem,31100,le mercredi,,,07h00 - 13h30,,,,
"43.61872299702921,1.3974859975388476","{""coordinates"": [[1.397485997538848, 43.61872299702921]], ""type"": ""MultiPoint""}",ANCELY,Alimentaire,264 avenue de Casselardit,31300,le vendredi,,,,,12h00 – 19h00,,
"43.603713712788775,1.4560753134122542","{""coordinates"": [[1.456075313412254, 43.603713712788775]], ""type"": ""MultiPoint""}",ESPACE DES CHINEURS,Espace de vente destiné aux vendeurs non professionnels,"Bvd Michelet, église Saint Aubin",31000,le samedi,,,,,,08h30 - 13h00,
"43.56480944590717,1.4107391996950502","{""coordinates"": [[1.41073919969505, 43.56480944590717]], ""type"": ""MultiPoint""}",LAFOURGUETTE,Alimentaire,Place des Glières,31100,le samedi,,,,,,07h00 - 13h30,
"43.59362282204356,1.4465722162699324","{""coordinates"": [[1.446572216269932, 43.59362282204356]], ""type"": ""MultiPoint""}",JULES GUESDE,Forain,Allées Jules Guesde,31400,le dimanche,,,,,,,07h00 – 14h00
"43.60356199631465,1.4551649912287292","{""coordinates"": [[1.455164991228729, 43.60356199631465]], ""type"": ""MultiPoint""}",SAINT-AUBIN,Alimentaire et forain,Bvd Michelet,31000,dimanche,,,,,,,07h00 - 13h30
"43.60436660071743,1.4433361354097747","{""coordinates"": [[1.443336135409775, 43.60436660071743]], ""type"": ""MultiPoint""}",CAPITOLE,Forain,Place du Capitole,31000,du mardi au samedi,,07h00 - 13h30,07h00 – 19h00,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30,
"43.57892093863024,1.4125839852935538","{""coordinates"": [[1.412583985293554, 43.57892093863024]], ""type"": ""MultiPoint""}",FAOURETTE,Alimentaire et forain,Place Paul-Lambert,31100,le mercredi et le vendredi,,07h00 – 14h00,,,07h00 – 14h00,,
"43.57896400315558,1.4591789984634929","{""coordinates"": [[1.459178998463493, 43.57896400315558]], ""type"": ""MultiPoint""}",RANGUEIL,Alimentaire,64-70 Avenue Albert-Bedouce,31400,les mercredis et dimanches,,,07h00 - 13h30,,,,07h00 - 13h30
"43.59752855754435,1.4300887774492992","{""coordinates"": [[1.430088777449299, 43.59752855754435]], ""type"": ""MultiPoint""}",SAINT CYPRIEN,Marché couvert,Place Roguet,31300,du mardi au dimanche,,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30
"43.59757380721492,1.4453340346238763","{""coordinates"": [[1.445334034623876, 43.59757380721492]], ""type"": ""MultiPoint""}",CARMES,Marché couvert,Place des Carmes,31000,du mardi au dimanche,,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30
"43.60655200189027,1.4466100016904548","{""coordinates"": [[1.446610001690455, 43.60655200189027]], ""type"": ""MultiPoint""}",VICTOR HUGO,Marché couvert,Place Victor Hugo,31000,du mardi au dimanche,,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30
"43.5983543773141,1.4522666887512394","{""coordinates"": [[1.452266688751239, 43.5983543773141]], ""type"": ""MultiPoint""}",GRANDE BROCANTE - ALLÉES FRANÇOIS,Brocante mensuelle,Allées François Verdier,31000,"le premier vendredi, samedi, et dimanche du mois",,,,,1er du mois,1er du mois,1er du mois
"43.58479681105283,1.4283791428235268","{""coordinates"": [[1.428379142823527, 43.58479681105283]], ""type"": ""MultiPoint""}",CROIX DE PIERRE,Alimentaire,Place de la Croix-de-Pierre,31100,le mercredi,,,07h00 - 13h30,,07h00 - 13h30,,
"43.59902147116997,1.4285877030696894","{""coordinates"": [[1.428587703069689, 43.59902147116997]], ""type"": ""MultiPoint""}",RAVELIN,Alimentaire et forain,Place du Ravelin,31300,le vendredi,,,,,07h00 - 13h30,,
"43.616582936319446,1.4082157812493978","{""coordinates"": [[1.408215781249398, 43.616582936319446]], ""type"": ""MultiPoint""}",SEPT DENIERS,Alimentaire,105 Route de Blagnac,31200,le dimanche,,,,,,,07h00 - 13h30
"43.604571755955625,1.445097996802765","{""coordinates"": [[1.445097996802765, 43.604571755955625]], ""type"": ""MultiPoint""}",ESPARCETTE BIO,Alimentaire bio,Square Charles de Gaulle,31000,le mardi et le samedi,,08h00 - 14h00,,,,08h00 - 14h00,
"43.599984077846024,1.454057112883471","{""coordinates"": [[1.454057112883471, 43.599984077846024]], ""type"": ""MultiPoint""}",DUPUY,Alimentaire,Place Dupuy,31000,le jeudi,,,,07h00 - 13h30,,,
"43.58619887757436,1.4472676736766574","{""coordinates"": [[1.447267673676657, 43.58619887757436]], ""type"": ""MultiPoint""}",SAINT MICHEL,Producteurs,18 bis Grande-Rue Saint Michel,31400,le samedi,,,,,,07h00 - 13H30,
"43.60790357924135,1.4277923776116461","{""coordinates"": [[1.427792377611646, 43.60790357924135]], ""type"": ""MultiPoint""}",HERACLES,Alimentaire,PLACE HERACLES,31000,,,,,,,,
"43.59984506970403,1.4493880746702859","{""coordinates"": [[1.449388074670286, 43.59984506970403]], ""type"": ""MultiPoint""}",SAINT ÉTIENNE,Livres,Place Saint-Etienne,31000,le samedi,,,,,,09h30 – 18h00,
"43.608673999163145,1.4459879999531864","{""coordinates"": [[1.445987999953186, 43.608673999163145]], ""type"": ""MultiPoint""}",JEANNE D'ARC,Fleurs,Place Jeanne d'Arc,31000,du mardi au samedi,,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30,07h00 - 13h30,07h00 – 14h00
"43.57914799884755,1.483494002907103","{""coordinates"": [[1.483494002907103, 43.57914799884755]], ""type"": ""MultiPoint""}",ORMEAU,Alimentaire et forain,Place de l'Ormeau,31400,les mardis et samedis,,07h00 - 13h30,,,,07h00 - 13h30,
"43.612893996810094,1.4772570090606492","{""coordinates"": [[1.477257009060649, 43.612893996810094]], ""type"": ""MultiPoint""}",SOUPETARD,Alimentaire et forain,58-66 Rue Louis-Plana,31500,le samedi,,,,,,07h00 - 13h30,
"43.57083284920723,1.4028623490865442","{""coordinates"": [[1.402862349086544, 43.57083284920723]], ""type"": ""MultiPoint""}",REYNERIE - FRIPES,Fripes,Rue de Kiev,31100,le mercredi,,,07h00 - 13h30,,,,
"43.58213791463266,1.4487747806946734","{""coordinates"": [[1.448774780694673, 43.58213791463266]], ""type"": ""MultiPoint""}",URSS,Alimentaire et forain,19-39 Avenue de l'URSS,31400,le vendredi,,,,,07h00 - 13h30,,
