Geo Point,Geo Shape,rue,motdir,id_seg_ges,commune,code_insee,codsti,nrivoli,pole,longueur,id_seg_obs,type,arrete,sensunique,doublesens_cyclable
"43.60898596849019,1.4416211815127176","{""coordinates"": [[[1.441314964523722, 43.60891670664795], [1.44162002890486, 43.60901606420411], [1.441721808780339, 43.60903686324403], [1.441793369628338, 43.609036855579404], [1.441826066740776, 43.609013007991045], [1.441844844102472, 43.608958841952365], [1.441878211051455, 43.60890875256075]]], ""type"": ""MultiLineString""}",RUE DES CUVES SAINT SERNIN,SERNIN (RUE DES CUVES SAINT SERNIN),3255,TOULOUSE,31555,3.15552E+11,3105552436,Centre,57,3255,Aire Pietonne,17/196,oui,oui
"43.60996507967201,1.4404706703438872","{""coordinates"": [[[1.440492542276842, 43.60976561736697], [1.440448798410932, 43.61016454197704]]], ""type"": ""MultiLineString""}",RUE GATIEN ARNOULT,ARNOULT (RUE GATIEN ARNOULT),3221,TOULOUSE,31555,3.15553E+11,3105553780,Centre,44,3221,Aire Pietonne,17/196,oui,oui
"43.61106168836014,1.440535604001169","{""coordinates"": [[[1.440577362789534, 43.61122901088653], [1.440493845212805, 43.61089436583374]]], ""type"": ""MultiLineString""}",RUE DE L HIRONDELLE,HIRONDELLE (RUE DE L HIRONDELLE),5317,TOULOUSE,31555,3.15553E+11,3105554236,Centre,38,5317,Aire Pietonne,17/196,oui,oui
"43.60883657059518,1.4414260116178093","{""coordinates"": [[[1.441537058711897, 43.60875643454241], [1.441314964523722, 43.60891670664795]]], ""type"": ""MultiLineString""}",RUE GATIEN ARNOULT,ARNOULT (RUE GATIEN ARNOULT),5441,TOULOUSE,31555,3.15553E+11,3105553780,Centre,25,5441,Aire Pietonne,17/196,oui,oui
"43.555146017260796,1.4276605780930116","{""coordinates"": [[[1.423887229084135, 43.55562863039531], [1.424115744044205, 43.5555506085841], [1.424348552190576, 43.55543521232269], [1.424940925127877, 43.55536749962942], [1.431470614936912, 43.554817864986454]]], ""type"": ""MultiLineString""}",PROM CLAUDIUS REGAUD,REGAUD (PROM CLAUDIUS REGAUD),34285,TOULOUSE,31555,3.15559E+11,3105552126,Sud,621,34285,Aire Pietonne,20/070,,
"43.60802124179161,1.4409809117026546","{""coordinates"": [[[1.440825007294673, 43.60773033355219], [1.440887914790308, 43.60788569823017], [1.440995170614473, 43.60794133884919], [1.441037140634953, 43.60797206270171], [1.441046074985125, 43.608164077114765], [1.441047664452995, 43.60834777332582]]], ""type"": ""MultiLineString""}",PL SAINT SERNIN,SERNIN (PL SAINT SERNIN),3254,TOULOUSE,31555,3.15556E+11,3105557984,Centre,75,3254,Aire Pietonne,19/091,oui,oui
"43.60856302945053,1.4412818392795477","{""coordinates"": [[[1.441047664452995, 43.60834777332582], [1.441140944481013, 43.608465089401584], [1.441537058711897, 43.60875643454241]]], ""type"": ""MultiLineString""}",PL SAINT SERNIN,SERNIN (PL SAINT SERNIN),7683,TOULOUSE,31555,3.15556E+11,3105557984,Centre,61,7683,Aire Pietonne,19/091,oui,oui
"43.60685071243162,1.4463185771499474","{""coordinates"": [[[1.446341244535074, 43.60664037593574], [1.446295909764821, 43.60706104892751]]], ""type"": ""MultiLineString""}",PL VICTOR HUGO,HUGO (PL VICTOR HUGO),3320,TOULOUSE,31555,3.15553E+11,3105558840,Centre,47,3320,Aire Pietonne,19/111,oui,oui
"43.60642018896425,1.4463738193379094","{""coordinates"": [[[1.446406394140745, 43.606200001992754], [1.446341244535074, 43.60664037593574]]], ""type"": ""MultiLineString""}",PL VICTOR HUGO,HUGO (PL VICTOR HUGO),3322,TOULOUSE,31555,3.15553E+11,3105558840,Centre,49,3322,Aire Pietonne,19/111,oui,oui
"43.62439468794233,1.4337631331516691","{""coordinates"": [[[1.434229957307564, 43.62447362386484], [1.433336130642782, 43.62432429506898], [1.433336794916737, 43.62428201124234]]], ""type"": ""MultiLineString""}",RUE FILHOL,FILHOL (RUE FILHOL),1775,TOULOUSE,31555,3.15553E+11,3105553304,Nord,79,1775,Aire Pietonne,22/039,oui,oui
