Geo Point,Geo Shape,texte,libelle,sous_type,code_insee
"49.585634557814494,12.382927547005705",,Cimetière du Centre,Cimetière du Centre,cimetiere,31069
"43.61776264991049,1.3319936337466423","{""coordinates"": [[[[1.33340646252707, 43.61740389068165], [1.332882484784898, 43.617550727620774], [1.333203756754786, 43.61813360997011], [1.331059928529683, 43.61877865100381], [1.330713822923347, 43.617514231367025], [1.331260913531931, 43.61735986736584], [1.33122985401782, 43.61733921490861], [1.331259094818688, 43.61729115238531], [1.33120225350359, 43.61727004113191], [1.331199923957974, 43.61724181918113], [1.331261736151253, 43.61713785012945], [1.331597394435801, 43.61706489476268], [1.331901124292834, 43.61702295401603], [1.332067654785517, 43.61700491950063], [1.332075775929444, 43.61705037414275], [1.33212405633499, 43.617044305228845], [1.332154904296046, 43.6171078922932], [1.332275777875251, 43.61707004009462], [1.333103758639836, 43.61684326807528], [1.33340646252707, 43.61740389068165]]]], ""type"": ""MultiPolygon""}",Cimetière Communal de Colomiers,Cimetière Communal de Colomiers,cimetiere,31149
"43.68186225041413,1.313822873469499","{""coordinates"": [[[[1.313389306777747, 43.68132694137922], [1.313389463890908, 43.68131748635718], [1.313439446845283, 43.68129144608039], [1.313477409128742, 43.681282325282325], [1.313538514509988, 43.68129233173495], [1.313933758740258, 43.68143120208569], [1.314524520910613, 43.68161424134752], [1.314565031033034, 43.68204202421727], [1.314539937036035, 43.6820610446494], [1.314570376444154, 43.682312691499845], [1.314551683021986, 43.682331805138205], [1.314541812873437, 43.6823797279184], [1.31305868194355, 43.682197628332325], [1.313241173595376, 43.681298165671194], [1.313376264809783, 43.68132682715868], [1.313389306777747, 43.68132694137922]]]], ""type"": ""MultiPolygon""}",,,cimetiere,31032
"43.650475581822974,1.3198737080547307","{""coordinates"": [[[[1.321039367727382, 43.65053855866479], [1.320091430832339, 43.650925143984736], [1.319645739988182, 43.65109214875408], [1.319357986131585, 43.651196950848565], [1.319003189299034, 43.65073362610414], [1.318722124372935, 43.65031166594303], [1.319930460342089, 43.64992734646075], [1.319923617685419, 43.64987626590444], [1.320015925899942, 43.6498853739311], [1.320495461694344, 43.64993459209508], [1.320621306120405, 43.64999082898794], [1.320947273625068, 43.65026422474072], [1.320993069371742, 43.650328821713714], [1.320900115956134, 43.650367506720485], [1.321039367727382, 43.65053855866479]]]], ""type"": ""MultiPolygon""}",Cimetière Municipal,Cimetière Municipal,cimetiere,31150
